"","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_int","species_from","species_to","which_species","int","group","se","sig","lo","hi","range_ci"
"1","Eucalyptus diversicolor large","Eucalyptus guilfoylei large",-0.24328568160347,0.474252715607724,0.128235334670428,0.324986762537591,0.443577073679397,0.594036824836621,0.950977219358744,"Frankland","large_large","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","Eucalyptus diversicolor large_Eucalyptus guilfoylei large","between_species_large_large",NA,NA,NA,NA,NA
"2","Eucalyptus guilfoylei large","Eucalyptus guilfoylei large",-0.212736501771973,0.361795410951224,0.141149283205174,0.266739892805416,0.320835451508218,0.429981278371126,0.856833414981222,"Frankland","large_large","Eucalyptus guilfoylei","Eucalyptus guilfoylei","within","Eucalyptus guilfoylei large_Eucalyptus guilfoylei large","within_species_large_large",0.186287651476697,NA,-0.576629040343704,0.153605134974047,0.730234175317751
"3","Allocasuarina decussata small","Allocasuarina decussata small",-0.0831653491457285,0.39452718699814,0.170635350797696,0.286247853939465,0.383227802084657,0.485108422167805,0.80285439458118,"Frankland","small_small","Allocasuarina decussata","Allocasuarina decussata","within","Allocasuarina decussata small_Allocasuarina decussata small","within_species_small_small",0.338676448538945,NA,-0.743450061385624,0.584137221710905,1.32758728309653
"4","Eucalyptus diversicolor large","Eucalyptus guilfoylei small",-0.0743099777104835,0.814556619037317,0.580269486583467,0.758549446571859,0.817850684549713,0.868086215249596,0.98476409990377,"Frankland","large_small","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","Eucalyptus diversicolor large_Eucalyptus guilfoylei small","between_species_large_small",NA,NA,NA,NA,NA
"5","Eucalyptus diversicolor large","Eucalyptus diversicolor small",-0.0641709025743467,0.814082343064528,0.595472521142464,0.761032587736914,0.812827766053493,0.862086807597734,0.984445501362268,"Frankland","large_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","Eucalyptus diversicolor large_Eucalyptus diversicolor small","within_species_large_small",NA,NA,NA,NA,NA
"6","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.0519451038694297,1.25542227286952,0.975068021895126,1.16491676421,1.23487895024478,1.35634109472014,1.65300531047951,"Frankland","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","Eucalyptus diversicolor large_Eucalyptus diversicolor large","within_species_large_large",0.207279463045073,NA,-0.456259205694157,0.356261358912132,0.812520564606289
"7","Eucalyptus diversicolor small","Eucalyptus guilfoylei small",-0.0420453653634718,0.884883762837173,0.686638091593297,0.807808806709173,0.906255317140107,0.964118473461653,0.993418653127623,"Frankland","small_small","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","Eucalyptus diversicolor small_Eucalyptus guilfoylei small","between_species_small_small",NA,NA,NA,NA,NA
"8","Eucalyptus diversicolor small","Eucalyptus guilfoylei large",-0.0334997894937243,0.890376468828763,0.694700110222356,0.814311465097508,0.911657276166801,0.969800491889668,0.994752772859262,"Frankland","large_small","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","Eucalyptus diversicolor small_Eucalyptus guilfoylei large","between_species_large_small",NA,NA,NA,NA,NA
"9","Eucalyptus guilfoylei large","Allocasuarina decussata small",0.0867968458907721,1.59838391426614,1.05706786353752,1.423511528036,1.63558405572662,1.76388496251208,2.20904850965302,"Frankland","large_small","Eucalyptus guilfoylei","Allocasuarina decussata","between","Eucalyptus guilfoylei large_Allocasuarina decussata small","between_species_large_small",0.244564285206987,NA,-0.385739252069923,0.57293512975103,0.958674381820953
"10","Eucalyptus diversicolor small","Allocasuarina decussata small",0.10268649000422,1.6570485707804,1.01625734304122,1.13038629664773,1.43157186534217,2.10254480013569,3.51962133448056,"Frankland","small_small","Eucalyptus diversicolor","Allocasuarina decussata","between","Eucalyptus diversicolor small_Allocasuarina decussata small","between_species_small_small",0.0970952248825887,NA,-0.0906528716263054,0.289953416055077,0.380606287681382
