"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Fit"
"1","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.17752453771018,-0.448900260618733,0.0938511851983734,-0.185295960252139,-0.16975311516822,"ANU101"
"2","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.507250451650032,-1.00629573623213,-0.00820516706793695,-0.516781687097078,-0.497719216202986,"ANU101"
"3","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.0394445390093399,-0.204779933644105,0.125890855625425,-0.0429814263440699,-0.03590765167461,"ANU101"
"4","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.133189439210232,-0.471975946760361,0.738354825180824,0.124748307815826,0.141630570604637,"ANU101"
"5","Non-euc Suppressed","Eucalyptus regnans Co-dominant",-0.0329531113058876,-0.14845151055838,0.0825452879466047,-0.035946539380413,-0.0299596832313621,"ANU101"
"7","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-2.46108928672877,-4.90423913648516,-0.0179394369723895,-2.49399552758511,-2.42818304587243,"ANU101"
"8","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.153612427306945,-0.369369402936493,0.676594257550384,0.147502941840368,0.159721912773522,"ANU101"
"9","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",1.37047469933405,-0.123616298798768,2.86456569746686,1.3511085756301,1.389840823038,"ANU101"
"10","Non-euc Suppressed","Eucalyptus regnans Dominant",0.19954136549676,-0.138910029376929,0.537992760370449,0.194319270528355,0.204763460465165,"ANU101"
"13","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",0.0386363355425678,-0.204243091564667,0.281515762649802,0.0325638441044403,0.0447088269806954,"ANU101"
"14","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",-0.348435539227068,-0.908854767028317,0.211983688574181,-0.356365023241724,-0.340506055212412,"ANU101"
"15","Non-euc Suppressed","Eucalyptus regnans Intermediate",-0.146837988089509,-0.263859172959355,-0.0298168032196638,-0.149376284256365,-0.144299691922654,"ANU101"
"19","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",0.100040314895058,-1.15754271143349,1.3576233412236,0.0821910070644129,0.117889622725703,"ANU101"
"20","Non-euc Suppressed","Eucalyptus regnans Suppressed",-0.154403428824216,-0.43690006852949,0.128093210881059,-0.160223678461046,-0.148583179187386,"ANU101"
"25","Non-euc Suppressed","Non-euc Suppressed",0.172042161276571,0.0335860702923967,0.310498252260745,0.164477808191527,0.179606514361615,"ANU101"
"11","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.551402654118083,-0.903884295916416,-0.19892101231975,-0.566780242264044,-0.536025065972122,"ANU363"
"21","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",0.0360060529675848,-0.439209774354672,0.511221880289842,0.0239667726877622,0.0480453332474075,"ANU363"
"31","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.174762033052604,-0.443646188963271,0.0941221228580617,-0.180870469988851,-0.168653596116358,"ANU363"
"41","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",-0.637379583676226,-1.40915132091972,0.13439215356727,-0.64881870954059,-0.625940457811863,"ANU363"
"51","Non-euc Suppressed","Eucalyptus regnans Co-dominant",-1.00248045795473,-1.7467393180667,-0.258221597842752,-1.02394307361693,-0.98101784229252,"ANU363"
"71","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-1.83616286517897,-3.60319571564429,-0.0691300147136633,-1.87031784392995,-1.802007886428,"ANU363"
"81","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",-0.131617976624883,-0.691815938985885,0.428579985736119,-0.14232214081365,-0.120913812436117,"ANU363"
"91","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",1.09715605576346,-0.513636817421557,2.70794892894848,1.05229930048257,1.14201281104435,"ANU363"
"101","Non-euc Suppressed","Eucalyptus regnans Dominant",0.962695109117964,0.00969219472203064,1.9156980235139,0.922772253249054,1.00261796498687,"ANU363"
"131","Eucalyptus regnans Intermediate","Eucalyptus regnans Intermediate",-0.103110614403361,-0.545731967511848,0.339510738705126,-0.111178077830901,-0.0950431509758216,"ANU363"
"141","Eucalyptus regnans Suppressed","Eucalyptus regnans Intermediate",0.773342616605395,-0.47810490327273,2.02479013648352,0.755635926601421,0.791049306609368,"ANU363"
"151","Non-euc Suppressed","Eucalyptus regnans Intermediate",-0.677095508209084,-1.87185136977331,0.517660353355141,-0.700560274097796,-0.653630742320372,"ANU363"
"191","Eucalyptus regnans Suppressed","Eucalyptus regnans Suppressed",-5.62654878240494,-14.6482068173925,3.3951092525826,-5.72888711472491,-5.52421045008497,"ANU363"
"201","Non-euc Suppressed","Eucalyptus regnans Suppressed",-2.52607954841097,-6.44578775175897,1.39362865493702,-2.60772914216991,-2.44442995465204,"ANU363"
"251","Non-euc Suppressed","Non-euc Suppressed",0.225748176000967,-0.50987793328971,0.961374285291644,0.194091565372997,0.257404786628936,"ANU363"
"12","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.340042203480851,-0.649253540873068,-0.0308308660886339,-0.349834002222002,-0.3302504047397,"ANU689"
"22","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.962787853189124,-1.59699980161396,-0.328575904764284,-0.97433582192797,-0.951239884450279,"ANU689"
"32","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.0582249301176428,-0.312763109077927,0.196313248842641,-0.0641411871135673,-0.0523086731217182,"ANU689"
"42","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.315147476588425,-0.103419760275948,0.733714713452798,0.307733020016754,0.322561933160095,"ANU689"
"52","Non-euc Suppressed","Eucalyptus regnans Co-dominant",0.0306213144157459,-0.09648006778168,0.157722696613172,0.0275764520366934,0.0336661767947984,"ANU689"
"72","Eucalyptus regnans Dominant","Eucalyptus regnans Dominant",-2.18970787197011,-3.90493234695932,-0.474483396980905,-2.2195623717107,-2.15985337222952,"ANU689"
"82","Eucalyptus regnans Intermediate","Eucalyptus regnans Dominant",0.03107849712611,-0.426520768649065,0.488677762901285,0.0199944944529514,0.0421624997992686,"ANU689"
"92","Eucalyptus regnans Suppressed","Eucalyptus regnans Dominant",1.42042881035815,0.0362945215601094,2.8045630991562,1.39876976070626,1.44208786001005,"ANU689"
"102","Non-euc Suppressed","Eucalyptus regnans Dominant",0.193835540841589,-0.0610559387739826,0.44872702045716,0.188196585155807,0.19947449652737,"ANU689"
