Site_Name,Longitude,Latitude,MAT ,MAP ,elevation ,FPI ,yearlymaxNDVI,yearlymeanNDVI,stand_basal_area,GPP,ETa,PET,AI 
A-Tree,152.4609,-31.2421,15.3,1375,631,19.29504776,0.884510338,0.839550316,57.74800846,72.76347826,1040.3,1481.6,0.928050756
Ada Tree,145.867273,-37.804973,10.3,1714,784,15.60713577,0.86329025,0.803199828,57.91407462,64.96173913,500.1,919.5,1.864056552
ANU101,145.516708,-37.530841,11.2,1502,337,14.8655386,0.904950142,0.818685174,62.78768149,64.15826087,659.7,1187.9,1.264416197
ANU363,145.626745,-37.59279,11.7,1445,580,15.06046486,0.888782978,0.828843117,55.50964411,63.99304348,640.6,1101.7,1.311609331
ANU589,145.638847,-37.588718,11.6,1468,579,15.08141518,0.968762875,0.853228867,67.23635576,64.03826087,771.2,1288.4,1.139397703
Baldy,145.418783,-17.269676,19.4,1726,1058,15.11221981,0.879552007,0.810867667,25.89380893,83.18782609,1301.5,1986.5,0.868864838
BenRidge,147.602513,-41.367397,8.6,1350,910,11.59667778,0.797269762,0.512001395,66.49881348,59.92347826,605.2,1149.6,1.174321503
Bird,146.643249,-43.089424,10.3,1466,212,10.22951317,0.8944453,0.761085153,70.42949096,54.89043478,260.7,485.6,3.018945634
BirdTree,152.682894,-31.686657,16.1,1542,352,20.47987175,0.932761312,0.876319945,78.80191392,73.40521739,942.8,1284.4,1.200560573
BlackBull,152.726671,-30.15757,15.5,1895,683,19.73387527,0.900766611,0.84470129,46.61977492,74.91478261,798.8,1158.5,1.635735865
BlackRiver,145.285228,-40.90313,12.4,1139,49,11.48664474,0.913828313,0.825166583,52.67509737,66.42956522,758,1147.8,0.992333159
BondTier,144.842051,-40.952559,12.3,1275,54,12.55095291,0.918263316,0.849725783,71.54251482,64.2573913,570.1,861.5,1.479976785
Bruxner,153.091808,-30.24019,18,1872,188,19.61669159,0.921787739,0.848100424,50.79906312,76.00173913,1238.8,1679,1.114949375
Candelo,149.594699,-36.863176,11.9,953,645,17.99791527,0.91051209,0.848090947,59.98036922,68.31652174,777.7,1202.8,0.792317925
Carey,115.845703,-34.386658,15.3,1098,164,8.607693672,0.884575725,0.81999141,52.07268206,69.67478261,1066.4,1569.1,0.699764196
Caveside,146.501252,-41.669875,7.4,1368,691,7.861755371,0.883672416,0.819711149,78.81751126,60.28,626.7,1221,1.12039312
Clare,116.650415,-34.995411,15,1204,165,12.68629742,0.902447879,0.843982637,116.3452365,68.01217391,1058.2,1567.4,0.768151078
Collins,116.12422,-34.507806,14.9,1120,136,8.622571945,0.875551522,0.806667328,39.64765641,68.61565217,1058.8,1580.3,0.708726191
Dawson,116.687185,-34.849788,15.2,1105,148,12.35257816,0.91955626,0.830053031,33.8394375,67.3026087,1005.3,1600.8,0.69027986
Dip,145.405096,-41.034643,11.2,1477,247,13.06639194,0.931358695,0.849014282,52.54898442,64.2,849.4,1254.7,1.177173826
Dombakup,115.983409,-34.577134,15.2,1163,93,8.848983765,0.889945805,0.822593331,62.68969365,69.7373913,938.1,1368.4,0.849897691
Flowerdale,145.566135,-41.044984,11.4,1406,206,11.54396439,0.920217037,0.842072189,65.65689964,63.63652174,607.6,944.6,1.488460724
Frankland,116.786015,-34.824617,14.8,1026,239,12.33777905,0.866996884,0.80676347,47.75805484,65.67826087,857.3,1408.2,0.728589689
Giants,116.879329,-34.980543,15.1,1132,158,13.1705637,0.873870492,0.819985509,106.1641508,68.07826087,815.9,1272.5,0.889587426
Goodenia,149.717866,-36.903761,13.1,1000,420,18.17106056,0.923636079,0.867348731,51.03513731,68.71652174,632.4,1004.4,0.995619275
HardyCreek,145.546473,-37.569273,10.5,1641,830,15.44771385,0.92384702,0.860079467,60.98056043,64.26086957,657.8,1190,1.378991597
Herberton,145.465055,-17.415912,19.4,1375,1048,16.42662811,0.870638132,0.774249077,17.38384587,84.10086957,1293.1,1960.4,0.701387472
Koombooloomba,145.584496,-17.841178,20.5,1732,795,12.96809006,0.828994989,0.769167721,35.86172546,83.84521739,1249.5,1913,0.905384213
Lamb Range,145.561141,-17.110737,18.9,1601,1148,17.13781166,0.888010085,0.837399483,36.95480571,85.09913043,1195.1,1871.2,0.855600684
Lardner,143.625792,-38.629258,11.3,1701,531,15.53751183,0.9045344,0.83620137,91.71790609,65.77217391,770.1,1143.4,1.487668358
Lorne,152.619338,-31.591975,16.5,1457,283,19.35806465,0.909660876,0.863723278,53.48740249,73.08,851.7,1220.9,1.193381931
Mackenzie,146.258356,-41.629951,7.5,1723,790,8.43366909,0.858654201,0.70228523,57.01137802,54.06608696,500,1051.4,1.638767358
MinesRd,152.536448,-31.280664,15.4,1434,535,20.25264549,0.87773174,0.839272559,52.33545587,72.87304348,1161.6,1680.8,0.853165159
MtField,146.649282,-42.682963,6.6,1309,843,7.627867699,0.839992166,0.743226171,99.00112867,54.65913043,559.3,1052.2,1.244060065
MtMaurice,147.538381,-41.311345,8.7,1371,752,11.38323307,0.864373088,0.799899161,58.41962521,62.06434783,701.2,1245.7,1.100586016
Newline,149.435125,-36.759165,10,853,955,15.22385502,0.865985096,0.793610692,61.71067442,67.13913043,682.1,1254.2,0.680114814
NorthStyx,146.608866,-42.811485,9.7,1299,560,9.644528389,0.877520978,0.81254822,72.59550207,55.80173913,348.9,645.1,2.013641296
Osullivans,152.259035,-32.345474,17.6,1323,75,18.26459122,0.857504249,0.769718647,47.40359287,73.9773913,981.3,1416.2,0.934190086
Supersite,146.65341,-43.095939,11.2,1364,111,10.50745106,0.91750747,0.810287774,69.76451946,55.84521739,384.3,668.1,2.041610537
Sutton,116.249838,-34.448862,15,1006,142,7.709449768,0.885284245,0.821776927,42.00220078,66.78086957,964.6,1684.7,0.597138956
Tinebank,152.525737,-31.207873,16.2,1362,600,20.31778336,0.917891562,0.858261943,61.69068839,72.88695652,763.1,1149.2,1.185172294
Turtons,143.702362,-38.639815,11.1,1654,480,15.11219597,0.886947989,0.819859087,87.46436714,65.48869565,457.2,777.4,2.127604837
WaratahMix,149.381474,-37.013029,10.4,917,828,16.91049957,0.855716765,0.801051438,67.5304159,65.98086957,692,1279.1,0.716910328
Warren,115.952205,-34.545976,14.8,1175,134,8.791166306,0.922539175,0.865997016,61.74187986,70.21565217,1014.1,1532.6,0.766671017
Weeaproinah,143.474993,-38.64372,11.2,1869,471,15.84913635,0.987982154,0.876813591,78.4638597,65.60869565,612.3,921.9,2.027334852
Weld,146.743861,-43.041397,11,1228,87,10.63925076,0.918931663,0.821927547,37.80807406,57.74608696,563.1,900.9,1.363081363
WogWay,149.382334,-36.997418,10.9,911,845,16.86708641,0.828410447,0.783960104,62.80405547,66.43826087,662.9,1132,0.804770318
ZigZag,146.746355,-43.101829,10.2,1381,284,10.53822708,0.898529112,0.759084404,89.89240357,56.94608696,495.9,809.1,1.706834755
