,Site_Name,Latitude,Longitude,annual_mean_temp,mean_dinural_range,isothermality,temp_seasonality,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,mean_temp_wettest_quart,mean_temp_driest_quart,mean_temp_warmest_quart,mean_temp_coldest_quart,annual_precip,precip_wettest_month,precip_driest_month,precip_seasonality,precip_wettest_quart,precip_driest_quart,precip_warmest_quart,precip_coldest_quart,depth_of_soil_m,bulk_density,sand_pc,annual_actual_ET,twi,total_nitrogen,total_phosphorous,organic_carbon,annual_PET,fpi,NPP,no_species,basal_area_m2_ha,region,georegion
1,Frankland,-34.824617,116.786015,14.21249962,9.608333588,54.59280396,301.150238,24.29999924,6.699999809,17.59999847,10.75,17.73333359,18.04999924,10.75,1085,177,25,60.67353821,484,84,93,484,0.670000017,1.230000019,80,845,6.32999897,0.239999995,0.129999995,0.449999988,1251.873779,12.33777905,20157,4,47.75805484,WA,WA
2,Collins,-34.507806,116.12422,15.1833334,9.366666794,52.32774734,316.4600525,25.5,7.599999905,17.89999962,11.55000019,18.95000076,19.25,11.55000019,1130,198,22,69.42121124,541,70,75,541,0.850000024,1.110000014,84,815,6.434489727,0.230000004,0.109999999,1.649999976,1134.152832,8.622571945,19390,3,39.64765641,WA,WA
3,Clare,-34.995411,116.650415,14.91250038,9.058333397,54.24151611,285.1564636,24.39999962,7.699999809,16.70000076,11.66666698,18.21666718,18.56666756,11.66666698,1213,205,26,63.57469177,556,87,97,556,1.029999971,1.210000038,84,854,7.028929234,0.230000004,0.129999995,1.610000014,1324.486084,12.68629742,20651,4,116.3452365,WA,WA
4,Sutton,-34.448862,116.249838,15.16250038,9.791666985,52.64337158,326.8452759,25.89999962,7.300000191,18.59999847,11.39999962,19.06666565,19.36666679,11.39999962,1003,177,20,68.42944336,479,65,70,479,0.910000026,1.24000001,86,801,10.63666725,0.209999993,0.100000001,1.830000043,1289.524658,7.709449768,19367,4,42.00220078,WA,WA
5,Giants,-34.980543,116.879329,14.88749981,9.291666985,54.65686035,285.650177,24.60000038,7.599999905,17,11.64999962,18.18333435,18.56666756,11.64999962,1139,185,27,60.74056244,510,88,98,510,0.939999998,1.179999948,84,860,6.561713219,0.219999999,0.090000004,1.350000024,1212.442627,13.1705637,20144,5,106.1641508,WA,WA
6,Warren,-34.545976,115.952205,15.36250019,9.008333206,51.77203369,305.1908875,25.39999962,8,17.39999962,11.89999962,19,19.31666756,11.89999962,1224,217,22,70.53504181,591,73,77,591,0.899999976,1.190000057,89,824,6.213922024,0.209999993,0.129999995,1.169999957,1269.97937,8.791166306,20278,3,61.74187986,WA,WA
7,Dawson,-34.849788,116.687185,14.8791666,9.324999809,54.21511459,292.7879944,24.70000076,7.5,17.20000076,11.51666641,18.29999924,18.61666679,11.51666641,1107,186,24,63.49777603,507,80,89,507,1.139999986,1.25999999,85,847,6.269964218,0.230000004,0.119999997,1.649999976,1289.979492,12.35257816,20993,4,33.8394375,WA,WA
8,Carey,-34.386658,115.845703,15.52083302,9.324999809,52.38764191,316.9345703,25.79999924,8,17.79999924,11.95000076,19.31666565,19.63333321,11.95000076,1173,214,20,71.10684204,569,69,73,569,0.939999998,1.200000048,88,804,6.049235344,0.200000003,0.140000001,1.179999948,1281.959961,8.607693672,20885,3,52.07268206,WA,WA
9,Dombakup,-34.577134,115.983409,15.51666641,9.166666985,52.38095093,304.5737305,25.60000038,8.100000381,17.5,12.05000019,19.16666794,19.45000076,12.05000019,1199,213,22,71.01927185,580,70,75,580,0.980000019,1.139999986,88,825,10.11894894,0.189999998,0.129999995,1.649999976,1223.514282,8.848983765,19988,5,62.68969365,WA,WA
10,Bird,-43.089424,146.643249,9.783333778,8.083333015,48.40319443,307.3370361,18.89999962,2.200000048,16.69999886,6.516666889,13.46666718,13.46666718,5.883333206,1563,174,76,24.05216599,501,258,258,476,0.349999994,0.870000005,66,692,5.934441566,0.349999994,0.170000002,1.24000001,810.0401611,10.22951317,13694,12,70.42949096,ss_TAS,TAS
11,Flowerdale,-41.044984,145.566135,11.71249962,7.591666698,48.97849274,284.8773804,20.10000038,4.599999905,15.5,8.266666412,15.3166666,15.3166666,8.266666412,1413,188,53,36.11001968,502,190,190,502,0.75999999,0.879999995,73,655,5.889878273,0.419999987,0.079999998,0.310000002,962.5460205,11.54396439,18362,8,65.65689964,ns_TAS,TAS
12,Dip,-41.034643,145.405096,11.22500038,7.5,48.70129776,283.3525085,19.70000076,4.300000191,15.40000057,8.033333778,14.8166666,14.8166666,7.816666603,1449,191,55,36.11267853,519,197,197,515,0.730000019,0.839999974,58,680,6.726234436,0.439999998,0.109999999,1.419999957,1034.071289,13.06639194,18992,7,52.54898442,ns_TAS,TAS
13,Weld,-43.041397,146.743861,10.51249981,8.741666794,50.23946381,309.3991699,19.89999962,2.5,17.39999962,7.266666412,14.19999981,14.19999981,6.583333492,1329,147,63,23.69752502,420,219,219,402,0.930000007,0.970000029,69,656,12.39187336,0.330000013,0.090000004,1.519999981,942.8342896,10.63925076,14256,9,37.80807406,ss_TAS,TAS
14,ZigZag,-43.101829,146.746355,9.704166412,8.241666794,48.48039246,307.190033,19,2,17,6.449999809,13.39999962,13.39999962,5.833333492,1470,165,73,23.57045364,471,246,246,445,0.460000008,0.829999983,67,680,7.079950333,0.319999993,0.090000004,2.130000114,955.3404541,10.53822708,15131,9,89.89240357,ss_TAS,TAS
15,NorthStyx,-42.811485,146.608866,8.670833588,8.708333015,49.19962311,319.0145264,18.60000038,0.899999976,17.70000076,5.266666889,12.53333378,12.53333378,4.716666698,1466,162,81,21.81830406,470,260,260,432,0.280000001,0.939999998,69,658,7.36860466,0.360000014,0.140000001,0.930000007,816.7748413,9.644528389,13288,11,72.59550207,ss_TAS,TAS
16,Newline,-36.759165,149.435125,10.29166698,10.55000019,47.0982132,422.1149902,22.20000076,-0.200000003,22.40000153,15.38333321,5.666666508,15.38333321,4.983333588,963,117,54,23.06218719,294,167,294,201,0.579999983,1.139999986,69,689,6.3827672,0.239999995,0.170000002,1.49000001,1194.993164,15.22385502,17172,6,61.71067442,seNSW,seNSW
17,WaratahMix,-37.013029,149.381474,10.84583282,9.908332825,46.30062485,411.3307495,22.39999962,1,21.39999962,15.80000019,6.366666794,15.80000019,5.666666508,846,93,50,18.54016304,242,162,242,183,0.670000017,1.139999986,67,717,6.652058125,0.209999993,0.150000006,2.049999952,1223.257935,16.91049957,17341,6,67.5304159,seNSW,seNSW
18,WogWay,-36.997418,149.382334,10.6291666,9.841667175,45.98909378,412.588623,22.20000076,0.800000012,21.40000153,15.61666679,6.133333206,15.61666679,5.450000286,870,97,50,19.06086731,251,165,251,186,0.50999999,1.049999952,69,717,7.332867146,0.230000004,0.100000001,1.929999948,1104.808105,16.86708641,17631,6,62.80405547,seNSW,seNSW
19,Goodenia,-36.903761,149.717866,13.40416622,9.824999809,49.87309647,362.1994629,23.5,3.799999952,19.70000076,17.79999924,9.399999619,17.79999924,8.833333015,874,105,46,22.72104454,263,154,263,172,0.600000024,1.210000038,73,707,8.531679153,0.25999999,0.079999998,1.710000038,1157.749756,18.17106056,19649,8,51.03513731,seNSW,seNSW
20,Candelo,-36.863176,149.594699,12.17083359,9.841667175,48.96351624,374.7633057,22.60000038,2.5,20.10000038,16.71666718,8.016666412,16.71666718,7.450000286,880,108,46,23.90295601,271,152,271,172,0.709999979,1.179999948,71,691,6.046033859,0.209999993,0.079999998,2,1222.379517,17.99791527,18478,7,59.98036922,seNSW,seNSW
21,ANU101,-37.530841,145.516708,10.77499962,8.066666603,40.13266754,412.3298645,22.70000076,2.599999905,20.10000038,7.599999905,15.98333359,15.98333359,5.800000191,1449,157,68,21.84677124,444,248,248,430,0.699999988,1,69,600,6.926007271,0.300000012,0.109999999,1.929999948,1209.63623,14.8655386,15983,7,62.78768149,VIC,VIC
22,Ada Tree,-37.804973,145.867273,10.28333378,8.350000381,41.54228973,407.6559143,22.10000038,2,20.10000038,5.650000095,15.45000076,15.45000076,5.366666794,1562,177,67,25.89844704,502,251,251,480,0.699999988,0.850000024,69,625,6.078972816,0.409999996,0.25,2.180000067,1062.349121,15.60713577,16237,10,57.91407462,VIC,VIC
23,Weeaproinah,-38.64372,143.474993,11.28333282,6.566666603,43.20175171,302.5222168,20.10000038,4.900000095,15.20000076,7.633333206,15.16666698,15.16666698,7.633333206,1908,230,74,33.18658447,664,277,277,664,0.600000024,0.860000014,61,681,6.624157429,0.409999996,0.159999996,2.029999971,1060.859375,15.84913635,18423,9,78.4638597,Otways,VIC
24,ANU363,-37.59279,145.626745,11.61250019,8.691666603,42.19255829,411.726532,23.79999924,3.200000048,20.59999847,8.516666412,16.78333282,16.78333282,6.616666794,1414,156,66,23.32028008,441,234,234,424,0.899999976,1,67,628,7.330903053,0.330000013,0.200000003,3.099999905,1196.632935,15.06046486,14664,3,55.50964411,VIC,VIC
25,ANU589,-37.588718,145.638847,11.6208334,9.008333206,42.69352341,415.9406433,24.10000038,3,21.10000038,6.983333111,16.85000038,16.85000038,6.566666603,1419,160,65,24.27293968,446,232,232,433,0.50999999,0.99000001,69,631,5.558727741,0.330000013,0.219999999,2.150000095,1189.610596,15.08141518,16159,7,67.23635576,VIC,VIC
26,Turtons,-38.639815,143.702362,11.2458334,6.108333111,41.55328751,301.6956482,19.79999924,5.099999905,14.69999886,7.633333206,15.13333321,15.13333321,7.633333206,1668,195,66,31.50521851,568,250,250,568,0.680000007,0.889999986,69,658,5.905778885,0.400000006,0.090000004,0.930000007,1081.553223,15.11219597,17581,10,87.46436714,Otways,VIC
27,Lardner,-38.629258,143.625792,11.19583321,6.375,42.5,303.3933716,19.89999962,4.900000095,15,7.550000191,15.10000038,15.10000038,7.550000191,1786,210,69,32.24327469,613,264,264,613,0.75999999,0.839999974,64,685,7.30540657,0.409999996,0.150000006,2.809999943,1074.496338,15.53751183,18012,8,91.71790609,Otways,VIC
28,HardyCreek,-37.569273,145.546473,10.13333321,7.916666508,39.98316574,415.5737,21.89999962,2.099999905,19.79999924,5.366666794,15.36666679,15.36666679,5.116666794,1551,172,69,24.28983307,487,254,254,473,0.349999994,0.920000017,72,609,5.920423985,0.389999986,0.219999999,1.929999948,1208.134033,15.44771385,15539,8,60.98056043,VIC,VIC
29,MinesRd,-31.280664,152.536448,15.9958334,9.841667175,49.70538712,376.95224,25.5,5.699999809,19.79999924,20.30000114,11.8166666,20.46666718,11.15000057,1653,237,41,46.16718674,671,173,588,220,0.660000026,1.200000048,53,696,6.38034153,0.280000001,0.129999995,2.390000105,1357.583496,20.25264549,18700,11,52.33545587,nNSW,nNSW
30,Tinebank,-31.207873,152.525737,15.15416622,9.341666222,47.90598297,382.6846619,24.60000038,5.099999905,19.5,19.53333282,10.88333321,19.68333435,10.23333359,1711,248,44,46.09705734,695,183,605,229,0.680000007,1.179999948,63,710,6.649902344,0.319999993,0.239999995,2.029999971,1234.469971,20.31778336,18167,9,61.69068839,nNSW,nNSW
31,Lorne,-31.591975,152.619338,17.17916679,9.841666222,49.70538712,374.259613,26.39999962,6.599999905,19.79999924,21.43333435,13,21.58333397,12.3166666,1542,219,46,40.80858612,590,177,508,236,0.670000017,1.190000057,59,740,5.969286442,0.310000002,0.109999999,1.179999948,1410.144897,19.35806465,18616,19,53.48740249,nNSW,nNSW
32,BirdTree,-31.686657,152.682894,16.73333359,9.050000191,48.65591431,361.199585,25.5,6.900000095,18.60000038,20.88333321,12.66666698,21,12.08333302,1683,240,55,38.78401566,629,207,530,279,0.670000017,1.200000048,61,756,6.440149307,0.300000012,0.109999999,0.980000019,1421.890137,20.47987175,18712,19,78.80191392,nNSW,nNSW
33,A-Tree,-31.2421,152.4609,15.69999981,9.916666985,49.09241104,386.9108276,25.39999962,5.199999809,20.20000076,20.08333397,11.41666698,20.25,10.6833334,1591,230,39,47.5198822,656,165,577,204,0.629999995,1.210000038,55,705,4.85789156,0.300000012,0.209999993,2.609999895,1289.774414,19.29504776,18628,7,57.74800846,nNSW,nNSW
34,BlackBull,-30.15757,152.726671,15.26249981,8.808333397,45.40377808,390.9145813,24.39999962,5,19.39999962,19.64999962,10.91666698,19.81666565,10.14999962,1625,235,48,45.48493958,648,176,615,215,0.730000019,1.220000029,62,861,5.756908894,0.310000002,0.140000001,2.289999962,1385.251099,19.73387527,19441,13,46.61977492,nNSW,nNSW
35,Bruxner,-30.24019,153.091808,18.29999924,9.066666603,47.46945953,367.3554077,26.79999924,7.699999809,19.09999847,22.41666603,14.23333359,22.53333282,13.44999981,1688,248,40,46.28519058,653,170,559,225,0.889999986,1.210000038,65,784,5.803442478,0.280000001,0.090000004,1.110000014,1468.828003,19.61669159,19409,25,50.79906312,nNSW,nNSW
36,Osullivans,-32.345474,152.259035,17.61666679,9.25,48.42931747,374.6594543,26.60000038,7.5,19.10000038,21.85000038,13.4333334,22.01666641,12.71666622,1157,156,55,30.537714,397,177,333,226,0.75,1.25999999,60,823,7.312841415,0.170000002,0.079999998,0.519999981,1355.811035,18.26459122,19190,16,47.40359287,nNSW,nNSW
37,Herberton,-17.415912,145.465055,19.01250076,9.008333206,52.37402725,300.9539795,27.10000038,9.899999619,17.20000076,21.96666718,17.5,22.25,14.9333334,1554,317,18,85.82717896,851,72,754,111,1.070000052,1.169999957,54,1028,6.610482216,0.319999993,0.07,1.210000038,1680.180298,16.42662811,22221,3,17.38384587,QLD,QLD
38,Lamb Range,-17.110737,145.561141,18.82083321,7.808333397,51.71081543,277.5580139,26.20000076,11.10000038,15.10000038,21.61666679,17.29999924,21.83333397,15.0666666,1588,433,16,97.90266418,968,96,867,124,1.25,1.100000024,62,1051,5.213763714,0.280000001,0.189999998,1.820000052,1676.891357,17.13781166,21634,14,36.95480571,QLD,QLD
39,Baldy,-17.269676,145.418783,19.20000076,9,53.89221191,282.4165039,27.20000076,10.5,16.70000076,21.93333244,16.11666679,22.21666718,15.35000038,1533,313,25,81.22566986,866,111,719,131,1.139999986,1.139999986,54,1003,6.970192432,0.310000002,0.07,2.160000086,1704.498169,15.11221981,21542,26,25.89380893,QLD,QLD
40,Koombooloomba,-17.841178,145.584496,19.90833282,8.550000191,50,312.0229797,27.89999962,10.80000019,17.09999847,22.08333397,18.23333359,23.31666565,15.66666603,2247,381,25,68.99099731,1075,129,796,294,1.450000048,1.090000033,57,1082,6.511046886,0.300000012,0.140000001,1.620000005,1680.424561,12.96809006,22257,25,35.86172546,QLD,QLD
41,BlackRiver,-40.90313,145.285228,12.39999962,8,50,277.6852417,21,5,16,9.316666603,15.91666698,15.91666698,9.033332825,1144,147,44,34.55738068,403,158,158,397,0.839999974,0.879999995,74,703,6.56812191,0.49000001,0.07,2.289999962,972.8747559,11.48664474,18506,8,52.67509737,King_TAS,TAS
42,BondTier,-40.952559,144.842051,12.28333378,7.033333302,49.18414688,256.6243591,20.20000076,5.900000095,14.30000114,9.233333588,15.58333397,15.58333397,9.233333588,1269,164,51,34.9186821,455,183,183,455,0.74000001,0.889999986,75,750,6.580211639,0.439999998,0.079999998,1.399999976,1009.72937,12.55095291,18727,9,71.54251482,King_TAS,TAS
