Species,Class
Allocasuarina decussata,Subcanopy
Eucalyptus diversicolor,Canopy
Eucalyptus guilfoylei,Canopy
Eucalyptus jacksonii,Canopy
Acacia melanoxylon,Subcanopy
Corymbia calophylla,Canopy
Trymalium odoratissimum,Subcanopy
Eucalyptus obliqua,Canopy
Olearia argophylla,Subcanopy
Pomaderris apetala,Subcanopy
Eucalyptus regnans,Canopy
Nematolepis squamea,Subcanopy
Eucalyptus cypellocarpa,Canopy
Eucalyptus fastigata,Canopy
Eucalyptus radiata,Canopy
Eucalyptus viminalis,Canopy
Pomaderris aspera,Subcanopy
Hedycarya angustifolia,Subcanopy
Allocasuarina torulosa,Subcanopy
Eucalyptus pilularis,Canopy
Cryptocarya glaucescens,Subcanopy
Cryptocarya rigida,Subcanopy
Eucalyptus microcorys,Canopy
Syncarpia glomulifera,Canopy
Acmena smithii,Subcanopy
Cryptocarya microneura,Subcanopy
Eucalyptus grandis,Canopy
Corymbia intermedia,Subcanopy
Polyscias elegans,Subcanopy
Sloanea langii,Subcanopy
Nothofagus cunninghamii,Subcanopy
Pittosporum bicolor,Subcanopy
Atherosperma moschatum,Subcanopy
Acacia dealbata,Subcanopy
Eucalyptus delegatensis,Canopy
Leptospermum lanigerum,Subcanopy
Eucalyptus dalrympleana,Canopy
Tasmannia lanceolata,Subcanopy
Archontophoenix cunninghamiana,Subcanopy
Schizomeria ovata,Subcanopy
Synoum glandulosum,Subcanopy
Monotoca glauca,Subcanopy
Phyllocladus aspleniifolius,Subcanopy
Caldcluvia paniculosa,Subcanopy
Ceratopetalum apetalum,Subcanopy
Geissois benthamii,Subcanopy
Lophostemon sp,Canopy
Niemeyeria whitei,Subcanopy
Acacia mucronata,Subcanopy
Eucalyptus ovata,Canopy
Leptospermum scoparium,Subcanopy
Zieria arborescens,Subcanopy
Bedfordia salicina,Subcanopy
Eucalyptus coccifera,Canopy
Eucalyptus subcrenulata,Canopy
Eucalyptus urnigera,Canopy
