"","...1","from","to","alpha","mean_effect","quan_0","quan_25","quan_50","quan_75","quan_100","site","class_from","class_to","class_int","species_from","species_to","which_species","group","int","se","sig","lo","hi","range_ci"
"1",1,"Eucalyptus diversicolor large","Eucalyptus guilfoylei large",-0.24328568160347,0.511763689332429,0.261636446970835,0.353366501076416,0.495976809703543,0.651157774463203,0.946086207435091,"Frankland","large","large","large_large","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","between_species_large_large","Eucalyptus diversicolor large_Eucalyptus guilfoylei large",0.12482218432671,1,-0.490410809800955,-0.00111683829701303,0.489293971503942
"2",2,"Eucalyptus guilfoylei large","Eucalyptus guilfoylei large",-0.212736501771973,0.360276044410781,0.206777498043784,0.285663996786086,0.348264700444157,0.395763192213844,0.666474756323586,"Frankland","large","large","large_large","Eucalyptus guilfoylei","Eucalyptus guilfoylei","within","within_species_large_large","Eucalyptus guilfoylei large_Eucalyptus guilfoylei large",0.186287651476697,NA,-0.576629040343704,0.153605134974047,0.730234175317751
"3",3,"Allocasuarina decussata small","Allocasuarina decussata small",-0.0831653491457285,0.376765738486892,0.253574350654662,0.30727997658234,0.332765626586212,0.486135308812982,0.538546208718764,"Frankland","small","small","small_small","Allocasuarina decussata","Allocasuarina decussata","within","within_species_small_small","Allocasuarina decussata small_Allocasuarina decussata small",0.338676448538945,NA,-0.743450061385624,0.584137221710905,1.32758728309653
"4",4,"Eucalyptus diversicolor large","Eucalyptus guilfoylei small",-0.0743099777104835,0.821133119375873,0.620803498824982,0.758505185485282,0.809055022254913,0.864292190777212,0.967769441004311,"Frankland","large","small","large_small","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","between_species_large_small","Eucalyptus diversicolor large_Eucalyptus guilfoylei small",0.102580409255624,NA,-0.273970846968645,0.12813696835216,0.402107815320805
"5",5,"Eucalyptus diversicolor large","Eucalyptus diversicolor small",-0.0641709025743467,0.825695020698242,0.686169993067975,0.792498793444788,0.825876598521426,0.846983699487983,0.927459889580945,"Frankland","large","small","large_small","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_small","Eucalyptus diversicolor large_Eucalyptus diversicolor small",0.0728688731169441,NA,-0.206306799774883,0.0793339340315756,0.285640733806459
"6",6,"Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.0519451038694297,1.18337536016682,1.02701915750294,1.07079386155836,1.17358254494499,1.28419632509322,1.46215067116278,"Frankland","large","large","large_large","Eucalyptus diversicolor","Eucalyptus diversicolor","within","within_species_large_large","Eucalyptus diversicolor large_Eucalyptus diversicolor large",0.207279463045073,NA,-0.456259205694157,0.356261358912132,0.812520564606289
"7",7,"Eucalyptus diversicolor small","Eucalyptus guilfoylei small",-0.0420453653634718,0.884045859749671,0.712071704571493,0.832728449154855,0.901774203905605,0.957877020550033,0.984983431684095,"Frankland","small","small","small_small","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","between_species_small_small","Eucalyptus diversicolor small_Eucalyptus guilfoylei small",0.0511110407870085,NA,-0.142115169054332,0.0582364292554562,0.200351598309789
"8",8,"Eucalyptus diversicolor small","Eucalyptus guilfoylei large",-0.0334997894937243,0.89679148292737,0.706220683836682,0.835459257766025,0.936154561601301,0.970206411134872,0.994209715612801,"Frankland","small","large","large_small","Eucalyptus diversicolor","Eucalyptus guilfoylei","between","between_species_large_small","Eucalyptus diversicolor small_Eucalyptus guilfoylei large",0.0768863198366218,NA,-0.18418263419083,0.117206201376382,0.301388835567212
"9",9,"Eucalyptus guilfoylei large","Allocasuarina decussata small",0.0867968458907721,1.65883678133358,1.25451800132138,1.50215891461747,1.68608584347583,1.87321465979036,1.9375206706534,"Frankland","large","small","large_small","Eucalyptus guilfoylei","Allocasuarina decussata","between","between_species_large_small","Eucalyptus guilfoylei large_Allocasuarina decussata small",0.244564285206987,NA,-0.385739252069923,0.57293512975103,0.958674381820953
"10",10,"Eucalyptus diversicolor small","Allocasuarina decussata small",0.10268649000422,1.87033919156753,1.0633543142948,1.30841880991999,1.92956199438864,2.23784077108797,2.67879678495532,"Frankland","small","small","small_small","Eucalyptus diversicolor","Allocasuarina decussata","between","between_species_small_small","Eucalyptus diversicolor small_Allocasuarina decussata small",0.0970952248825887,NA,-0.0906528716263054,0.289953416055077,0.380606287681382
