"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","Potential","site","new_from","new_to","region","region2","sig","fill_col"
"1","Allocasuarina decussata","Allocasuarina decussata",-0.147625388598427,-0.965170575659236,0.669919798462382,-0.155172655797553,-0.140078121399301,0.417122556082408,"Potential 1","Frankland","Allocasuarina decussata","Allocasuarina decussata","WA","WA",NA,NA
"2","Eucalyptus diversicolor","Allocasuarina decussata",0.00210769750045953,-0.154649682530575,0.158865077531494,0.000326750500032938,0.00388864450088611,0.079979724764086,"Potential 1","Frankland","Eucalyptus diversicolor","Allocasuarina decussata","WA","WA",NA,NA
"3","Eucalyptus guilfoylei","Allocasuarina decussata",0.321831635311895,0.00847421174838098,0.635189058875409,0.316232607393681,0.327430663230109,0.159879174329344,"Potential 1","Frankland","Eucalyptus guilfoylei","Allocasuarina decussata","WA","WA",1,"WA"
"5","Eucalyptus diversicolor","Eucalyptus diversicolor",0.153891583772359,-0.0232352332681588,0.331018400812878,0.149561815555464,0.158221351989255,0.0903724856363035,"Potential 1","Frankland","Eucalyptus diversicolor","Eucalyptus diversicolor","WA","WA",NA,NA
"6","Eucalyptus guilfoylei","Eucalyptus diversicolor",-0.0984809454511415,-0.191574219326357,-0.00538767157592596,-0.100449840812919,-0.096512050089364,0.0474974410803073,"Potential 1","Frankland","Eucalyptus guilfoylei","Eucalyptus diversicolor","WA","WA",1,"WA"
"9","Eucalyptus guilfoylei","Eucalyptus guilfoylei",0.183853503351218,-0.0435811024465689,0.411288109149005,0.174602993141022,0.193104013561414,0.116040196448385,"Potential 1","Frankland","Eucalyptus guilfoylei","Eucalyptus guilfoylei","WA","WA",NA,NA
"11","Allocasuarina decussata","Allocasuarina decussata",0.498949042091345,0.416039732477014,0.581858351705676,0.489015862823824,0.508882221358866,0.0423014454695643,"Potential 1","Collins","Allocasuarina decussata","Allocasuarina decussata","WA","WA",1,"WA"
"21","Eucalyptus diversicolor","Allocasuarina decussata",0.00335847855361352,-0.0749806943449901,0.0816976514522171,0.00122301696206345,0.00549394014516359,0.0399697002172147,"Potential 1","Collins","Eucalyptus diversicolor","Allocasuarina decussata","WA","WA",NA,NA
"4","Eucalyptus diversicolor","Eucalyptus diversicolor",0.101567636145506,-0.13854831520784,0.341683587498851,0.0936114297084531,0.109523842582558,0.122510389602743,"Potential 1","Collins","Eucalyptus diversicolor","Eucalyptus diversicolor","WA","WA",NA,NA
"12","Allocasuarina decussata","Allocasuarina decussata",0.174289983697219,-0.0157463012208937,0.364326268615332,0.168935671941874,0.179644295452564,0.096959069869189,"Potential 1","Clare","Allocasuarina decussata","Allocasuarina decussata","WA","WA",NA,NA
