"","from","to","value","lo","hi","Site","Genus_from","Genus_to"
"1","Acacia dealbata Suppressed","Acacia dealbata Suppressed",-0.829281424136023,-3.46656827730237,1.80800542903033,"ANU101","Acacia","Acacia"
"2","Acacia melanoxylon Suppressed","Acacia dealbata Suppressed",0.171269675021322,-1.85085021992133,2.19338956996397,"ANU101","Acacia","Acacia"
"3","Eucalyptus regnans Co-dominant","Acacia dealbata Suppressed",-0.0786748152991242,-0.586682585982514,0.429332955384265,"ANU101","Eucalyptus","Acacia"
"4","Eucalyptus regnans Dominant","Acacia dealbata Suppressed",0.177322734081437,-0.848672244464691,1.20331771262756,"ANU101","Eucalyptus","Acacia"
"5","Eucalyptus regnans Intermediate","Acacia dealbata Suppressed",-0.742152870290634,-1.98070679048178,0.496401049900512,"ANU101","Eucalyptus","Acacia"
"6","Eucalyptus regnans Suppressed","Acacia dealbata Suppressed",0.114059546769466,-1.14834441107615,1.37646350461508,"ANU101","Eucalyptus","Acacia"
"7","Hedycarya angustifolia Suppressed","Acacia dealbata Suppressed",-2.26107404616807,-5.46212461519717,0.939976522861039,"ANU101","Hedycarya","Acacia"
"8","Misc Suppressed","Acacia dealbata Suppressed",1.26038021868792,-1.75474475144265,4.27550518881848,"ANU101","Misc","Acacia"
"9","Pomaderris aspera Suppressed","Acacia dealbata Suppressed",0.372995102717914,-0.286017756769369,1.0320079622052,"ANU101","Pomaderris","Acacia"
"10","Acacia dealbata Suppressed","Acacia melanoxylon Suppressed",0.171269675021322,-1.85085021992133,2.19338956996397,"ANU101","Acacia","Acacia"
"11","Acacia melanoxylon Suppressed","Acacia melanoxylon Suppressed",-0.0671215252570506,-1.93654723263506,1.80230418212096,"ANU101","Acacia","Acacia"
"12","Eucalyptus regnans Co-dominant","Acacia melanoxylon Suppressed",0.603293716889886,-0.0650292454428992,1.27161667922267,"ANU101","Eucalyptus","Acacia"
"13","Eucalyptus regnans Dominant","Acacia melanoxylon Suppressed",1.50377245963903,0.144445448334089,2.86309947094398,"ANU101","Eucalyptus","Acacia"
"14","Eucalyptus regnans Intermediate","Acacia melanoxylon Suppressed",0.253274305049755,-0.4327407053298,0.93928931542931,"ANU101","Eucalyptus","Acacia"
"15","Eucalyptus regnans Suppressed","Acacia melanoxylon Suppressed",-0.912425387871193,-3.54306591458161,1.71821513883923,"ANU101","Eucalyptus","Acacia"
"16","Hedycarya angustifolia Suppressed","Acacia melanoxylon Suppressed",-1.01311213629083,-2.95996208420947,0.933737811627818,"ANU101","Hedycarya","Acacia"
"17","Misc Suppressed","Acacia melanoxylon Suppressed",0.596729063742669,-5.17311488146867,6.36657300895401,"ANU101","Misc","Acacia"
"18","Pomaderris aspera Suppressed","Acacia melanoxylon Suppressed",-0.0332778124704414,-0.517969975191138,0.451414350250255,"ANU101","Pomaderris","Acacia"
"19","Acacia dealbata Suppressed","Eucalyptus regnans Co-dominant",-0.0786748152991242,-0.586682585982514,0.429332955384265,"ANU101","Acacia","Eucalyptus"
"20","Acacia melanoxylon Suppressed","Eucalyptus regnans Co-dominant",0.603293716889886,-0.0650292454428992,1.27161667922267,"ANU101","Acacia","Eucalyptus"
"21","Eucalyptus regnans Co-dominant","Eucalyptus regnans Co-dominant",-0.319627234133119,-0.702972065975311,0.0637175977090733,"ANU101","Eucalyptus","Eucalyptus"
"22","Eucalyptus regnans Dominant","Eucalyptus regnans Co-dominant",-0.704756235116504,-1.3836490356608,-0.0258634345722123,"ANU101","Eucalyptus","Eucalyptus"
"23","Eucalyptus regnans Intermediate","Eucalyptus regnans Co-dominant",-0.0921860109474891,-0.294841813751129,0.110469791856151,"ANU101","Eucalyptus","Eucalyptus"
"24","Eucalyptus regnans Suppressed","Eucalyptus regnans Co-dominant",0.396548083166721,-0.463308661152558,1.256404827486,"ANU101","Eucalyptus","Eucalyptus"
"25","Hedycarya angustifolia Suppressed","Eucalyptus regnans Co-dominant",0.281286819607326,-0.389510186220996,0.952083825435649,"ANU101","Hedycarya","Eucalyptus"
