"","Site_Name","Latitude","Longitude","annual_mean_temp","annual_precip","annual_PET","annual_ET"
"1","Frankland",-34.824617,116.786015,14.2124996185303,1085,1165,850
"2","Collins",-34.507806,116.12422,15.1833333969116,1130,1140,820
"3","Clare",-34.995411,116.650415,14.9125003814697,1213,1173,847
"4","Sutton",-34.448862,116.249838,15.1625003814697,1003,1147,807
"5","Giants",-34.980543,116.879329,14.8874998092651,1139,1178,855
"6","Warren",-34.545976,115.952205,15.3625001907349,1224,1137,824
"7","Dawson",-34.849788,116.687185,14.8791666030884,1107,1163,847
"8","Carey",-34.386658,115.845703,15.5208330154419,1173,1152,797
"9","Dombakup",-34.577134,115.983409,15.5166664123535,1199,1137,824
"10","Bird",-43.089424,146.643249,9.78333377838135,1563,855,693
"11","Flowerdale",-41.044984,145.566135,11.7124996185303,1413,873,645
"12","Dip",-41.034643,145.405096,11.2250003814697,1449,877,679
"13","Weld",-43.041397,146.743861,10.5124998092651,1329,893,666
"14","ZigZag",-43.101829,146.746355,9.70416641235352,1470,858,706
"15","NorthStyx",-42.811485,146.608866,8.67083358764648,1466,845,663
"16","Newline",-36.759165,149.435125,10.2916669845581,963,1062,684
"17","WaratahMix",-37.013029,149.381474,10.845832824707,846,1067,719
"18","WogWay",-36.997418,149.382334,10.6291666030884,870,1064,720
"19","Goodenia",-36.903761,149.717866,13.4041662216187,874,1090,706
"20","Candelo",-36.863176,149.594699,12.1708335876465,880,1076,691
"21","ANU101",-37.530841,145.516708,10.7749996185303,1449,959,587
"22","Ada Tree",-37.804973,145.867273,10.2833337783813,1562,989,606
"23","Weeaproinah",-38.64372,143.474993,11.283332824707,1908,1041,687
"24","ANU363",-37.59279,145.626745,11.6125001907349,1414,946,641
"25","ANU589",-37.588718,145.638847,11.6208333969116,1419,946,641
"26","Turtons",-38.639815,143.702362,11.2458333969116,1668,1043,652
"27","Lardner",-38.629258,143.625792,11.1958332061768,1786,1053,693
"28","HardyCreek",-37.569273,145.546473,10.1333332061768,1551,959,587
"29","MinesRd",-31.280664,152.536448,15.9958333969116,1653,1244,699
"30","Tinebank",-31.207873,152.525737,15.1541662216187,1711,1244,699
"31","Lorne",-31.591975,152.619338,17.1791667938232,1542,1270,734
"32","BirdTree",-31.686657,152.682894,16.7333335876465,1683,1280,743
"33","A-Tree",-31.2421,152.4609,15.6999998092651,1591,1244,699
"34","BlackBull",-30.15757,152.726671,15.2624998092651,1625,1348,860
"35","Bruxner",-30.24019,153.091808,18.2999992370605,1688,1438,776
"36","Osullivans",-32.345474,152.259035,17.6166667938232,1157,1380,827
"37","Herberton",-17.415912,145.465055,19.0125007629395,1554,1755,1049
"38","Lamb Range",-17.110737,145.561141,18.8208332061768,1588,1761,1091
"39","Baldy",-17.269676,145.418783,19.2000007629395,1533,1706,995
"40","Koombooloomba",-17.841178,145.584496,19.908332824707,2247,1904,1084
"41","BlackRiver",-40.90313,145.285228,12.3999996185303,1144,914,698
"42","BondTier",-40.952559,144.842051,12.2833337783813,1269,954,756
"43","Supersite",-43.095939,146.65341,10.4333333969116,1438,893,666
"44","Mackenzie",-41.629951,146.258356,7.63333320617676,1637,800,681
"45","MtMaurice",-41.311345,147.538381,8.24583339691162,1143,905,638
"46","BenRidge",-41.367397,147.602513,8.29166698455811,1133,893,665
"47","MtField",-42.682963,146.649282,7.0625,1408,888,601
"48","Caveside",-41.669875,146.501252,8.13333320617676,1252,811,663
