Model,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15
clim_only,annual_mean_temp,annual_precip,,,,,,,,,,,,,
ref,class_from,size_int,class_from*size_int,,,,,,,,,,,,
ref+clim,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,,,,,,,,,,
ref+clim+c_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,,,,,,,,,
ref+clim+c_int+4_int,class_from,size_int,annual_mean_temp,annual_precip,class_from*size_int,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*class_from*size_int,,,,,,,,
ref_int+c_int,class_from*size_int,annual_mean_temp*annual_precip,,,,,,,,,,,,,
ref_int+c_int+4_int,class_from*size_int,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*class_from*size_int,,,,,,,,,,,,
ref+3s_int,class_from,size_int,class_from*size_int,annual_mean_temp*annual_precip*size_int,,,,,,,,,,,
ref+3c_int,class_from,size_int,class_from*size_int,annual_mean_temp*annual_precip*class_from,,,,,,,,,,,
ref+3_int,class_from,size_int,class_from*size_int,annual_mean_temp*annual_precip*class_from,annual_mean_temp*annual_precip*size_int,,,,,,,,,,
ref_int+c_int+3_ints+4_int,class_from,size_int,class_from*size_int,annual_mean_temp*annual_precip*class_from,annual_mean_temp*annual_precip*size_int,annual_mean_temp*annual_precip*size_int*class_from,,,,,,,,,
ref+clim+3s_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip*size_int,,,,,,,,,
ref+clim+3c_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip*class_from,,,,,,,,,
ref+clim+3_ints,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip*class_from,annual_mean_temp*annual_precip*size_int,,,,,,,,
ref+clim+3_ints+4_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip*class_from,annual_mean_temp*annual_precip*size_int,annual_mean_temp*annual_precip*size_int*class_from,,,,,,,
ref+clim_int+3s_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*size_int,,,,,,,,
ref+clim_int+3s_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*class_from,,,,,,,,
ref+clim_int+3_ints,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*size_int,annual_mean_temp*annual_precip*class_from,,,,,,,
ref+clim_int+3_ints+4_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*class_from,annual_mean_temp*annual_precip*size_int,annual_mean_temp*annual_precip*size_int*class_from,,,,,,
ref+clim+3eco_ints,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*size_int*class_from,annual_precip*size_int*class_from,,,,,,,,
ref+clim_int+3eco_ints,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*size_int*class_from,annual_precip*size_int*class_from,,,,,,,
ref+clim_int_3eco_ints+4_int,class_from,size_int,class_from*size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*size_int*class_from,annual_precip*size_int*class_from,annual_mean_temp*annual_precip*size_int*class_from,,,,,,
saturated,class_from,size_int,annual_mean_temp,annual_precip,annual_mean_temp*annual_precip,annual_mean_temp*annual_precip*class_from,annual_mean_temp*annual_precip*size_int,annual_mean_temp*class_from*size_int,annual_precip*class_from*size_int,class_from*size_int,annual_mean_temp*annual_precip*class_from*size_int,class_from*annual_mean_temp,size_int*annual_mean_temp,size_int*annual_precip,class_from*annual_precip
