"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","Potential","site","range_ci","size_from","size_to","class_from","class_to","int","size_int","which"
"1","Canopy large","Canopy large",-0.263872543792081,-0.552107091165228,0.0243620035810664,-0.271743807281638,-0.256001280302523,0.147061144820366,"Potential 1","Frankland",0.576469094746294," large"," large","Canopy","Canopy","Canopy large_Canopy large","large large","within"
"2","Canopy small","Canopy large",-0.0857796452516811,-0.209857657676992,0.0382983671736295,-0.0884988900581397,-0.0830604004452226,0.0633062716478579,"Potential 1","Frankland",0.248156024850621," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"3","Subcanopy small","Canopy large",0.1956422704497,-0.14693382893516,0.53821836983456,0.190703503247722,0.200581037651678,0.174786935926913,"Potential 1","Frankland",0.685152198769719," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"5","Canopy small","Canopy small",0.280797901218007,0.13984060270469,0.421755199731325,0.273551675745585,0.288044126690429,0.0719183105532401,"Potential 1","Frankland",0.281914597026635," small"," small","Canopy","Canopy","Canopy small_Canopy small","small small","within"
"6","Subcanopy small","Canopy small",0.181486358457242,0.0008175176414143,0.36215519927307,0.177893941659096,0.185078775255389,0.0921796738312136,"Potential 1","Frankland",0.361337681631656," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small","small small","between"
"9","Subcanopy small","Subcanopy small",-0.145425751169566,-0.777585721249498,0.486734218910366,-0.151495457477851,-0.139356044861281,0.322536523663868,"Potential 1","Frankland",1.26431994015986," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small","small small","within"
"11","Canopy large","Canopy large",-0.589352910191629,-1.17911727254968,0.000411452166425907,-0.60283922483952,-0.575866595543739,0.300905714089668,"Potential 1","Collins",1.17952872471611," large"," large","Canopy","Canopy","Canopy large_Canopy large","large large","within"
"21","Canopy small","Canopy large",-0.0142778138633779,-0.235130546226872,0.206574918500117,-0.0165843389117776,-0.0119712888149783,0.112682036050434,"Potential 1","Collins",0.441705464726989," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"31","Subcanopy small","Canopy large",-0.29371701742996,-0.609029537992656,0.0215955031327365,-0.299710668636566,-0.287723366223354,0.160876691127919,"Potential 1","Collins",0.630625041125393," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"51","Canopy small","Canopy small",0.339181060214015,0.190858449049552,0.487503671378478,0.333510603618159,0.344851516809872,0.0756761921823119,"Potential 1","Collins",0.296645222328926," small"," small","Canopy","Canopy","Canopy small_Canopy small","small small","within"
"61","Subcanopy small","Canopy small",0.0143645788111932,-0.117188165716467,0.145917323338853,0.0116516282878759,0.0170775293345105,0.0671199805533833,"Potential 1","Collins",0.26310548905532," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small","small small","between"
"91","Subcanopy small","Subcanopy small",0.288613031555161,0.0399849707013237,0.537241092408999,0.282713655331106,0.294512407779216,0.12685338241671,"Potential 1","Collins",0.497256121707675," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small","small small","within"
"13","Canopy large","Canopy large",-0.379530343581156,-1.11207360759875,0.35301292043644,-0.388199969598542,-0.370860717563769,0.373753431081287,"Potential 1","Clare",1.46508652803519," large"," large","Canopy","Canopy","Canopy large_Canopy large","large large","within"
"22","Canopy small","Canopy large",-0.12366380640829,-0.483912158295069,0.236584545478488,-0.12706557083117,-0.120262041985411,0.183803556967562,"Potential 1","Clare",0.720496703773556," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"32","Subcanopy large","Canopy large",0.0499650064019596,-0.364178487362199,0.464108500166118,0.0465221965679857,0.0534078162359336,0.211301583616265,"Potential 1","Clare",0.828286987528317," large"," large","Subcanopy","Canopy","Subcanopy large_Canopy large","large large","between"
"4","Subcanopy small","Canopy large",-0.114795747333453,-0.387752622159886,0.15816112749298,-0.117918627458589,-0.111672867208317,0.139266270696545,"Potential 1","Clare",0.545913749652867," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
"62","Canopy small","Canopy small",0.21342372572489,-0.132620335122382,0.559467786572162,0.207990997593178,0.218856453856602,0.176556336533132,"Potential 1","Clare",0.692088121694543," small"," small","Canopy","Canopy","Canopy small_Canopy small","small small","within"
"7","Subcanopy large","Canopy small",0.0336194074003872,-0.248201396304649,0.315440211105423,0.0306822395178601,0.0365565752829143,0.143788766491631,"Potential 1","Clare",0.563641607410072," large"," small","Subcanopy","Canopy","Subcanopy large_Canopy small","small large","between"
"8","Subcanopy small","Canopy small",-0.0698797223477594,-0.237984859689889,0.0982254149943704,-0.0724508679189243,-0.0673085767765944,0.0857695032501218,"Potential 1","Clare",0.336210274684259," small"," small","Subcanopy","Canopy","Subcanopy small_Canopy small","small small","between"
"111","Subcanopy large","Subcanopy large",-0.0196584132640343,-0.502875848084599,0.463559021556531,-0.0231788093064653,-0.0161380172216033,0.246544037866064,"Potential 1","Clare",0.96643486964113," large"," large","Subcanopy","Subcanopy","Subcanopy large_Subcanopy large","large large","within"
"12","Subcanopy small","Subcanopy large",0.0497697231704566,-0.16223834261607,0.261777788956983,0.0472217357712077,0.0523177105697055,0.108169368140853,"Potential 1","Clare",0.424016131573053," small"," large","Subcanopy","Subcanopy","Subcanopy small_Subcanopy large","small large","within"
"16","Subcanopy small","Subcanopy small",0.2064959674992,0.0688464043606745,0.344145530637725,0.199886262313458,0.213105672684942,0.0702306594530755,"Potential 1","Clare",0.275299126277051," small"," small","Subcanopy","Subcanopy","Subcanopy small_Subcanopy small","small small","within"
"14","Canopy large","Canopy large",-0.016636244872443,-0.198197556751397,0.164925067006511,-0.0232401595374537,-0.0100323302074323,0.0926350245775364,"Potential 1","Sutton",0.363122623757908," large"," large","Canopy","Canopy","Canopy large_Canopy large","large large","within"
"23","Canopy small","Canopy large",-0.0633515701502766,-0.11944814921759,-0.00725499108296353,-0.0654738722955879,-0.0612292680049654,0.028621229527581,"Potential 1","Sutton",0.112193158134626," small"," large","Canopy","Canopy","Canopy small_Canopy large","small large","within"
"33","Subcanopy small","Canopy large",-0.0885757062407232,-0.179362580794683,0.00221116831323658,-0.0910549390025131,-0.0860964734789332,0.0463206851095607,"Potential 1","Sutton",0.18157374910792," small"," large","Subcanopy","Canopy","Subcanopy small_Canopy large","small large","between"
