"","site","types","auc_score","n_points"
"1","Frankland","Eucalyptus diversicolor",0.539514760502049,61
"2","Frankland","Eucalyptus guilfoylei",0.627090753293505,102
"3","Frankland","Non-euc",0.686589167668269,26
"4","Collins","Eucalyptus diversicolor",0.532378440679506,86
"5","Frankland","Eucalyptus guilfoylei",0.627090753293505,102
"6","Collins","Non-euc",0.485555013020833,30
"7","Collins","Eucalyptus diversicolor",0.532378440679506,86
"8","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"9","Clare","Non-euc",0.532314177482359,62
"10","Clare","Eucalyptus jacksonii",0.516477231626157,27
"11","Sutton","Eucalyptus diversicolor",0.54404296875,150
"12","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"13","Sutton","Non-euc",0.771931966145833,27
"14","Clare","Eucalyptus jacksonii",0.516477231626157,27
"15","Sutton","Corymbia calophylla",0.714160316868832,76
"16","Sutton","Eucalyptus diversicolor",0.54404296875,150
"17","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"18","Giants","Non-euc",0.652285621279762,84
"19","Giants","Eucalyptus jacksonii",0.745466825977856,151
"20","Giants","Corymbia calophylla",0.71495361328125,10
"21","Warren","Eucalyptus diversicolor",0.529570957399764,106
"22","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"23","Warren","Non-euc",0.596499559355945,41
"24","Giants","Eucalyptus jacksonii",0.745466825977856,151
"25","Giants","Corymbia calophylla",0.71495361328125,10
"26","Dawson","Eucalyptus diversicolor",0.514556517083961,83
"27","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"28","Dawson","Non-euc",0.534578450520833,75
"29","Giants","Eucalyptus jacksonii",0.745466825977856,151
"30","Giants","Corymbia calophylla",0.71495361328125,10
"31","Carey","Eucalyptus diversicolor",0.558890206473214,56
"32","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"33","Carey","Non-euc",0.557449001736111,45
"34","Giants","Eucalyptus jacksonii",0.745466825977856,151
"35","Carey","Corymbia calophylla",0.620414733886719,16
"36","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"37","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"38","Dombakup","Non-euc",0.507862493620446,199
"39","Giants","Eucalyptus jacksonii",0.745466825977856,151
"40","Carey","Corymbia calophylla",0.620414733886719,16
"41","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"42","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"43","Bird","Non-euc",0.510000708795363,310
"44","Giants","Eucalyptus jacksonii",0.745466825977856,151
"45","Carey","Corymbia calophylla",0.620414733886719,16
"46","Bird","Eucalyptus obliqua",0.55849819841056,145
"47","Dombakup","Eucalyptus diversicolor",0.522993134289253,82
"48","Clare","Eucalyptus guilfoylei",0.632680257161458,12
"49","Flowerdale","Non-euc",0.560191046331347,194
"50","Giants","Eucalyptus jacksonii",0.745466825977856,151
"51","Carey","Corymbia calophylla",0.620414733886719,16
"52","Flowerdale","Eucalyptus obliqua",0.524558392693015,170
