"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","new_from","new_to","region","sig","fill_col","region2"
"1","Eucalyptus diversicolor","Eucalyptus diversicolor",0.156640162436925,-0.0100525602818793,0.323332885155729,0.15143999703907,0.161840327834779,"Potential 1","Frankland","Eucalyptus diversicolor","Eucalyptus diversicolor","WA",NA,NA,"WA"
"2","Eucalyptus guilfoylei","Eucalyptus diversicolor",-0.0979492347706964,-0.199063220015446,0.00316475047405279,-0.100339043103105,-0.0955594264382875,"Potential 1","Frankland","Eucalyptus guilfoylei","Eucalyptus diversicolor","WA",NA,NA,"WA"
"3","Non-euc","Eucalyptus diversicolor",-0.0235898476165596,-0.229590161474859,0.182410466241739,-0.0266426237094328,-0.0205370715236864,"Potential 1","Frankland","Non-euc","Eucalyptus diversicolor","WA",NA,NA,"WA"
"5","Eucalyptus guilfoylei","Eucalyptus guilfoylei",0.119947330812283,-0.0674577991067809,0.307352460731346,0.111079291918216,0.12881536970635,"Potential 1","Frankland","Eucalyptus guilfoylei","Eucalyptus guilfoylei","WA",NA,NA,"WA"
"6","Non-euc","Eucalyptus guilfoylei",0.40297383241281,0.0743091832049848,0.731638481620635,0.394176053752554,0.411771611073066,"Potential 1","Frankland","Non-euc","Eucalyptus guilfoylei","WA",1,"WA","WA"
"9","Non-euc","Non-euc",-0.464256739113868,-1.3117206053254,0.383207127097665,-0.478590377319836,-0.449923100907899,"Potential 1","Frankland","Non-euc","Non-euc","WA",NA,NA,"WA"
"11","Eucalyptus diversicolor","Eucalyptus diversicolor",0.0998027849377766,-0.0920457757675738,0.291651345643127,0.0922830961265223,0.107322473749031,"Potential 1","Collins","Eucalyptus diversicolor","Eucalyptus diversicolor","WA",NA,NA,"WA"
"21","Non-euc","Eucalyptus diversicolor",-0.0632653742795998,-0.168158174391404,0.0416274258322049,-0.0661244674616452,-0.0604062810975544,"Potential 1","Collins","Non-euc","Eucalyptus diversicolor","WA",NA,NA,"WA"
"4","Non-euc","Non-euc",0.392545614529536,0.325033096616562,0.46005813244251,0.380142646320031,0.404948582739041,"Potential 1","Collins","Non-euc","Non-euc","WA",1,"WA","WA"
"12","Eucalyptus guilfoylei","Eucalyptus guilfoylei",0.34995308318733,-0.480665687551852,1.18057185392651,0.336623750636388,0.363282415738271,"Potential 1","Clare","Eucalyptus guilfoylei","Eucalyptus guilfoylei","WA",NA,NA,"WA"
"22","Eucalyptus jacksonii","Eucalyptus guilfoylei",0.816619882874896,-0.109682572747206,1.742922338497,0.796237957941918,0.837001807807873,"Potential 1","Clare","Eucalyptus jacksonii","Eucalyptus guilfoylei","WA",NA,NA,"WA"
"31","Non-euc","Eucalyptus guilfoylei",-0.167745042073585,-0.409330039401773,0.0738399552546021,-0.171640895494761,-0.163849188652409,"Potential 1","Clare","Non-euc","Eucalyptus guilfoylei","WA",NA,NA,"WA"
"51","Eucalyptus jacksonii","Eucalyptus jacksonii",-2.14172337795822,-3.92851690670508,-0.354929849211369,-2.19242279346811,-2.09102396244834,"Potential 1","Clare","Eucalyptus jacksonii","Eucalyptus jacksonii","WA",1,"WA","WA"
"61","Non-euc","Eucalyptus jacksonii",0.015288831709994,-0.30374288578247,0.334320549202458,0.00814293616813201,0.022434727251856,"Potential 1","Clare","Non-euc","Eucalyptus jacksonii","WA",NA,NA,"WA"
"91","Non-euc","Non-euc",0.177980712285154,0.012261170944988,0.34370025362532,0.171983548850865,0.183977875719443,"Potential 1","Clare","Non-euc","Non-euc","WA",1,"WA","WA"
"13","Corymbia calophylla","Corymbia calophylla",0.420555887756893,0.312031789999701,0.529079985514085,0.409489052934364,0.431622722579423,"Potential 1","Sutton","Corymbia calophylla","Corymbia calophylla","WA",1,"WA","WA"
"23","Eucalyptus diversicolor","Corymbia calophylla",-0.0826188748617916,-0.130015449687938,-0.0352223000356448,-0.0851665579966447,-0.0800711917269386,"Potential 1","Sutton","Eucalyptus diversicolor","Corymbia calophylla","WA",1,"WA","WA"
"32","Non-euc","Corymbia calophylla",-0.0154802723927547,-0.0758413603862293,0.04488081560072,-0.0178347274689815,-0.0131258173165279,"Potential 1","Sutton","Non-euc","Corymbia calophylla","WA",NA,NA,"WA"
"52","Eucalyptus diversicolor","Eucalyptus diversicolor",-0.0899183312060527,-0.279236784052658,0.0994001216405532,-0.0994953564063515,-0.0803413060057538,"Potential 1","Sutton","Eucalyptus diversicolor","Eucalyptus diversicolor","WA",NA,NA,"WA"
"62","Non-euc","Eucalyptus diversicolor",-0.123767963704696,-0.228026857608381,-0.0195090698010121,-0.127679172125234,-0.119856755284159,"Potential 1","Sutton","Non-euc","Eucalyptus diversicolor","WA",1,"WA","WA"
"92","Non-euc","Non-euc",0.410348727478631,0.244030309232891,0.576667145724372,0.392072036001684,0.428625418955578,"Potential 1","Sutton","Non-euc","Non-euc","WA",1,"WA","WA"
"14","Corymbia calophylla","Corymbia calophylla",0.503114628727439,0.233841432279255,0.772387825175622,0.489923942527635,0.516305314927242,"Potential 1","Giants","Corymbia calophylla","Corymbia calophylla","WA",1,"WA","WA"
"24","Eucalyptus jacksonii","Corymbia calophylla",-0.0880986265761209,-0.20532306989911,0.0291258167468685,-0.0907726815684951,-0.0854245715837467,"Potential 1","Giants","Eucalyptus jacksonii","Corymbia calophylla","WA",NA,NA,"WA"
"33","Non-euc","Corymbia calophylla",-0.120680499410517,-0.286640301673793,0.04527930285276,-0.123655126450674,-0.117705872370359,"Potential 1","Giants","Non-euc","Corymbia calophylla","WA",NA,NA,"WA"
"53","Eucalyptus jacksonii","Eucalyptus jacksonii",0.344526162793522,0.250683853590045,0.438368471997,0.334714578190334,0.354337747396711,"Potential 1","Giants","Eucalyptus jacksonii","Eucalyptus jacksonii","WA",1,"WA","WA"
"63","Non-euc","Eucalyptus jacksonii",-0.095476052906816,-0.132901700617784,-0.0580504051958483,-0.0974466958995188,-0.0935054099141131,"Potential 1","Giants","Non-euc","Eucalyptus jacksonii","WA",1,"WA","WA"
"93","Non-euc","Non-euc",0.147999399639771,-0.0160109868130879,0.312009786092631,0.139759898964543,0.156238900315,"Potential 1","Giants","Non-euc","Non-euc","WA",NA,NA,"WA"
"15","Eucalyptus diversicolor","Eucalyptus diversicolor",-0.283091583378973,-0.583945814180193,0.017762647422246,-0.295262130475959,-0.270921036281988,"Potential 1","Warren","Eucalyptus diversicolor","Eucalyptus diversicolor","WA",NA,NA,"WA"
