"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Fit","Potential"
"1","Acacia melanoxylon","Acacia melanoxylon",0.201106047635492,0.0992304180636569,0.302981677207327,0.186451077470976,0.215761017800009,"s_vic","Potential 1"
"8","Eucalyptus regnans","Eucalyptus regnans",-0.227333472670008,-0.36997009007483,-0.0846968552651864,-0.252043956737442,-0.202622988602575,"s_vic","Potential 1"
"9","Hedycarya angustifolia","Eucalyptus regnans",-0.134003342195522,-0.185667897091319,-0.0823387872997251,-0.139875750334005,-0.12813093405704,"s_vic","Potential 1"
"11","Olearia argophylla","Eucalyptus regnans",-0.0815300334203998,-0.143054203622837,-0.0200058632179627,-0.0881872903114557,-0.0748727765293439,"s_vic","Potential 1"
"15","Hedycarya angustifolia","Hedycarya angustifolia",0.153888123389847,0.0478011057865492,0.259975140993145,0.136403822190566,0.171372424589128,"s_vic","Potential 1"
"16","Nematolepis squamea subsp squamea","Hedycarya angustifolia",-0.0858367985374285,-0.123754236880641,-0.047919360194216,-0.0904973737230509,-0.081176223351806,"s_vic","Potential 1"
"17","Olearia argophylla","Hedycarya angustifolia",-0.0512232492000003,-0.0957239748609369,-0.00672252353906358,-0.056162457169382,-0.0462840412306186,"s_vic","Potential 1"
"22","Nematolepis squamea subsp squamea","Nematolepis squamea subsp squamea",0.321748150222454,0.244508744679076,0.398987555765831,0.30145174097722,0.342044559467688,"s_vic","Potential 1"
"23","Olearia argophylla","Nematolepis squamea subsp squamea",-0.0654077779597228,-0.101985768176889,-0.0288297877425565,-0.0702759576553935,-0.060539598264052,"s_vic","Potential 1"
"29","Olearia argophylla","Olearia argophylla",0.221606738751423,0.119628626516313,0.323584850986533,0.204486648729977,0.238726828772869,"s_vic","Potential 1"
"12","Acacia melanoxylon","Acacia melanoxylon",0.36375819352853,0.273523529454829,0.453992857602232,0.334359390310389,0.393156996746671,"n_vic","Potential 1"
"2","Eucalyptus regnans","Acacia melanoxylon",0.0616483523440763,0.0164497354089613,0.106846969279191,0.0541238479502334,0.0691728567379192,"n_vic","Potential 1"
"4","Pomaderris aspera","Acacia melanoxylon",-0.0967666521768149,-0.190398439743251,-0.00313486461037854,-0.109434154228625,-0.0840991501250051,"n_vic","Potential 1"
"6","Eucalyptus regnans","Eucalyptus regnans",-0.315984687214311,-0.441101340996594,-0.190868033432027,-0.346185959446771,-0.28578341498185,"n_vic","Potential 1"
"161","Pomaderris aspera","Pomaderris aspera",0.438543286325764,0.358120697597789,0.518965875053738,0.40982760291341,0.467258969738117,"n_vic","Potential 1"
"13","Acacia melanoxylon","Acacia melanoxylon",0.313280192212893,0.176320813413768,0.450239571012018,0.286649350272664,0.339911034153122,"qld","Potential 1"
"24","Allocasuarina torulosa","Acacia melanoxylon",-0.15672172957505,-0.259169591178617,-0.0542738679714839,-0.167305889978846,-0.146137569171255,"qld","Potential 1"
"42","Eucalyptus grandis","Acacia melanoxylon",-0.0765853405493725,-0.134331870688792,-0.0188388104099528,-0.0836013252319396,-0.0695693558668054,"qld","Potential 1"
"21","Corymbia intermedia","Corymbia intermedia",0.216877583020503,0.0132351521077728,0.420520013933233,0.193688169750469,0.240066996290537,"qld","Potential 1"
"41","Eucalyptus resinifera","Eucalyptus resinifera",1.85669371068594,0.151755679018313,3.56163174235357,1.73092128169619,1.9824661396757,"qld","Potential 1"
"62","Sloanea langii","Polyscias elegans",0.717147000492368,0.135716001082539,1.2985779999022,0.637196768367006,0.797097232617731,"qld","Potential 1"
"47","Archontophoenix cunninghamiana","Archontophoenix cunninghamiana",0.396993043149111,0.207778765074541,0.586207321223681,0.330396193684056,0.463589892614166,"n_nsw","Potential 1"
"49","Ceratopetalum apetalum","Archontophoenix cunninghamiana",0.228780798915355,0.0276676174717217,0.429893980358988,0.148789870611421,0.308771727219288,"n_nsw","Potential 1"
"117","Cryptocarya microneura","Cryptocarya glaucescens",0.464936294692731,0.0658475192460799,0.864025070139382,0.399071088434798,0.530801500950664,"n_nsw","Potential 1"
"151","Syncarpia glomulifera subsp glabra","Cryptocarya microneura",-1.49042338948673,-2.9489916258664,-0.0318551531070537,-1.63691752104234,-1.34392925793112,"n_nsw","Potential 1"
"231","Eucalyptus microcorys","Eucalyptus microcorys",0.297227606838673,0.0579773046751164,0.536477909002229,0.241399861598399,0.353055352078946,"n_nsw","Potential 1"
"349","Syncarpia glomulifera subsp glabra","Lophostemon sp.",0.578949396785403,0.0255549897710396,1.13234380379977,0.490319287038633,0.667579506532173,"n_nsw","Potential 1"
"417","Synoum glandulosum subsp glandulsoum","Syncarpia glomulifera subsp glabra",0.264509587296318,0.00547983300244703,0.52353934159019,0.210701912574576,0.31831726201806,"n_nsw","Potential 1"
"461","Synoum glandulosum subsp glandulsoum","Synoum glandulosum subsp glandulsoum",0.426681522966477,0.0363493602903087,0.817013685642645,0.349280985814964,0.50408206011799,"n_nsw","Potential 1"
"131","Eucalyptus radiata","Eucalyptus cypellocarpa",-0.139421271270368,-0.253862351441376,-0.0249801910993599,-0.151988567094483,-0.126853975446253,"s_nsw","Potential 1"
"152","Eucalyptus viminalis","Eucalyptus cypellocarpa",-0.546345870951522,-0.969710822515627,-0.122980919387417,-0.580497210002955,-0.512194531900089,"s_nsw","Potential 1"
"19","Eucalyptus fastigata","Eucalyptus fastigata",0.202641151607717,0.0840548169655417,0.321227486249892,0.172232428298489,0.233049874916945,"s_nsw","Potential 1"
"20","Eucalyptus obliqua","Eucalyptus fastigata",-0.113339825033732,-0.184458233114541,-0.0422214169529223,-0.12354505251907,-0.103134597548393,"s_nsw","Potential 1"
"211","Eucalyptus radiata","Eucalyptus fastigata",-0.0852917794716599,-0.165694550348145,-0.00488900859517447,-0.0959907560007255,-0.0745928029425944,"s_nsw","Potential 1"
"232","Eucalyptus viminalis","Eucalyptus fastigata",-0.150580909422281,-0.249984349487827,-0.0511774693567343,-0.162916643767525,-0.138245175077036,"s_nsw","Potential 1"
"28","Eucalyptus obliqua","Eucalyptus obliqua",0.255230028834847,0.12599583799369,0.384464219676003,0.229416619825258,0.281043437844435,"s_nsw","Potential 1"
"37","Eucalyptus radiata","Eucalyptus radiata",0.393693519135369,0.199315740397546,0.588071297873193,0.351603592032444,0.435783446238295,"s_nsw","Potential 1"
"55","Eucalyptus viminalis","Eucalyptus viminalis",0.388906044266065,0.232211372536771,0.545600715995359,0.346958620956501,0.430853467575629,"s_nsw","Potential 1"
"14","Allocasuarina decussata","Allocasuarina decussata",0.256246411660861,0.175797759093865,0.336695064227857,0.23888476265704,0.273608060664682,"s_wa","Potential 1"
"25","Eucalyptus diversicolor","Allocasuarina decussata",-0.0771092691935305,-0.142294226963329,-0.0119243114237318,-0.0841774407013685,-0.0700410976856925,"s_wa","Potential 1"
"3","Eucalyptus guilfoylei","Allocasuarina decussata",-0.0510842471754054,-0.0878290248108287,-0.0143394695399821,-0.0564633497996117,-0.0457051445511992,"s_wa","Potential 1"
"43","Eucalyptus jacksonii","Allocasuarina decussata",-0.0635025057614325,-0.105345936654019,-0.0216590748688462,-0.069410369965269,-0.0575946415575961,"s_wa","Potential 1"
"61","Eucalyptus diversicolor","Eucalyptus diversicolor",0.169866142891444,0.0312793905308038,0.308452895252083,0.152073299603977,0.18765898617891,"s_wa","Potential 1"
"7","Eucalyptus guilfoylei","Eucalyptus diversicolor",-0.0653926501057932,-0.119931783313918,-0.0108535168976689,-0.0712644048664447,-0.0595208953451417,"s_wa","Potential 1"
"111","Eucalyptus guilfoylei","Eucalyptus guilfoylei",0.424410688399887,0.316434389616107,0.532386987183667,0.401345461893611,0.447475914906163,"s_wa","Potential 1"
"162","Eucalyptus jacksonii","Eucalyptus jacksonii",0.409985475778824,0.330855460076292,0.489115491481357,0.387796917517164,0.432174034040485,"s_wa","Potential 1"
"18","Acacia melanoxylon","Acacia melanoxylon",0.882960978894404,0.464605220166669,1.30131673762214,0.803763625561815,0.962158332226993,"n_wa","Potential 1"
"71","Allocasuarina decussata","Allocasuarina decussata",0.502436170505054,0.407530781169463,0.597341559840645,0.471142116629274,0.533730224380833,"n_wa","Potential 1"
"81","Corymbia calophylla","Allocasuarina decussata",-0.208496417773191,-0.393391452928496,-0.0236013826178859,-0.231182841457353,-0.185809994089029,"n_wa","Potential 1"
"132","Corymbia calophylla","Corymbia calophylla",0.671476692238759,0.527315983679022,0.815637400798495,0.609099385395907,0.733853999081611,"n_wa","Potential 1"
"141","Eucalyptus diversicolor","Corymbia calophylla",-0.05548214008421,-0.101745359953441,-0.0092189202149795,-0.063630049969473,-0.0473342301989471,"n_wa","Potential 1"
"201","Trymalium odoratissimum","Eucalyptus diversicolor",-0.095929685909441,-0.1497126249524,-0.0421467468664823,-0.104223027559254,-0.0876363442596282,"n_wa","Potential 1"
"251","Trymalium odoratissimum","Trymalium odoratissimum",0.430955940667173,0.33031346071194,0.531598420622406,0.401558633082858,0.460353248251488,"n_wa","Potential 1"
"133","Nematolepis squamea subsp squamea","Acacia dealbata",0.285816398047757,0.0625685037529932,0.50906429234252,0.215031513002149,0.356601283093364,"d_tas","Potential 1"
"191","Tasmannia lanceolata","Acacia dealbata",-0.218154007461286,-0.432463767230512,-0.00384424769205982,-0.251494157952469,-0.184813856970103,"d_tas","Potential 1"
"411","Bedfordia salicina","Bedfordia salicina",0.362876939830496,0.163620121937453,0.562133757723539,0.291537235648777,0.434216644012216,"d_tas","Potential 1"
"73","Phyllocladus aspleniifolius","Eucalyptus coccifera",0.329904276016364,0.0405544721986318,0.619254079834096,0.280572656129943,0.379235895902785,"d_tas","Potential 1"
"101","Eucalyptus delegatensis","Eucalyptus delegatensis",0.197563957612886,0.0931396695574871,0.301988245668284,0.166119654302258,0.229008260923514,"d_tas","Potential 1"
"2011","Leptospermum lanigerum","Leptospermum lanigerum",0.367549551419413,0.193489661667937,0.541609441170889,0.307165597060796,0.42793350577803,"d_tas","Potential 1"
"261","Nothofagus cunninghamii","Nothofagus cunninghamii",0.387466860579258,0.0871965998717211,0.687737121286795,0.306319470322574,0.468614250835942,"d_tas","Potential 1"
"262","Olearia argophylla","Nothofagus cunninghamii",-0.51965132758564,-0.91310590753217,-0.126196747639109,-0.568320702588766,-0.470981952582513,"d_tas","Potential 1"
"301","Phyllocladus aspleniifolius","Phyllocladus aspleniifolius",0.295844565622917,0.0821719255279355,0.509517205717899,0.219538319151082,0.372150812094753,"d_tas","Potential 1"
"341","Pomaderris apetala","Pomaderris apetala",0.511495579833901,0.306299441881264,0.716691717786537,0.442591862952417,0.580399296715384,"d_tas","Potential 1"
"361","Tasmannia lanceolata","Tasmannia lanceolata",0.538214473116351,0.29256573389166,0.783863212341043,0.426239339826103,0.650189606406599,"d_tas","Potential 1"
"45","Atherosperma moschatum","Atherosperma moschatum",0.51350310027914,0.0417425035250961,0.985263697033185,0.398061609141467,0.628944591416813,"o_tas","Potential 1"
"58","Nothofagus cunninghamii","Atherosperma moschatum",0.272281022270206,0.0451085441960365,0.499453500344374,0.235021284036483,0.309540760503928,"o_tas","Potential 1"
"119","Nematolepis squamea","Eucalyptus obliqua",0.203065581195683,0.013235317677231,0.392895844714134,0.1616196633827,0.244511499008666,"o_tas","Potential 1"
"1331","Eucalyptus ovata","Eucalyptus ovata",-1.69408006923187,-2.82957679602422,-0.558583342439526,-1.98836851764598,-1.39979162081776,"o_tas","Potential 1"
"1411","Nematolepis squamea subsp squamea","Eucalyptus ovata",0.428232937490124,0.0922043991695138,0.764261475810734,0.324534687230416,0.531931187749832,"o_tas","Potential 1"
