,from,to,alpha,lo,hi,lo_numerical,hi_numerical,Potential,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int
1,Allocasuarina decussata small,Allocasuarina decussata small,-0.078481328,-0.739768748,0.582806091,-0.087033318,-0.069929339,Potential 1,Frankland,1.322574839,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy
2,Eucalyptus diversicolor large,Allocasuarina decussata small,0.232192535,-0.29676251,0.76114758,0.22603002,0.238355051,Potential 1,Frankland,1.05791009,large,small,Eucalyptus diversicolor,Allocasuarina decussata,large_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
3,Eucalyptus diversicolor small,Allocasuarina decussata small,0.100866436,-0.090035394,0.291768266,0.09789336,0.103839512,Potential 1,Frankland,0.381803661,small,small,Eucalyptus diversicolor,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
4,Eucalyptus guilfoylei large,Allocasuarina decussata small,0.09055339,-0.387527665,0.568634445,0.084715905,0.096390875,Potential 1,Frankland,0.95616211,large,small,Eucalyptus guilfoylei,Allocasuarina decussata,large_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
5,Eucalyptus guilfoylei small,Allocasuarina decussata small,0.307618936,-0.00340562,0.618643491,0.299205207,0.316032664,Potential 1,Frankland,0.622049111,small,small,Eucalyptus guilfoylei,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Canopy,Canopy_Subcanopy
6,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.051682116,-0.451588695,0.348224463,-0.057502414,-0.045861818,Potential 1,Frankland,0.799813159,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
7,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.063490829,-0.206385099,0.07940344,-0.065330669,-0.06165099,Potential 1,Frankland,0.285788539,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
8,Eucalyptus guilfoylei large,Eucalyptus diversicolor large,-0.244184088,-0.48688632,-0.001481855,-0.247476034,-0.240892142,Potential 1,Frankland,0.485404465,large,large,Eucalyptus guilfoylei,Eucalyptus diversicolor,large_large,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy
9,Eucalyptus guilfoylei small,Eucalyptus diversicolor large,-0.072343885,-0.270868185,0.126180414,-0.075850252,-0.068837519,Potential 1,Frankland,0.397048599,small,large,Eucalyptus guilfoylei,Eucalyptus diversicolor,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy
10,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.405785385,0.229865803,0.581704968,0.397850917,0.413719854,Potential 1,Frankland,0.351839164,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy
