,from,to,alpha,lo,hi,lo_numerical,hi_numerical,se,site,range_ci,size_from,size_to,species_from,species_to,size_int,georegion,region,sig,class_from,class_to,class_int,group
1,Allocasuarina decussata small,Allocasuarina decussata small,-0.07965642,-0.743450061,0.584137222,-0.088532034,-0.070780805,0.338676449,Frankland,1.327587283,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.small_Subcanopy.small
2,Eucalyptus diversicolor large,Allocasuarina decussata small,0.23317329,-0.302715045,0.769061626,0.22682595,0.23952063,0.27341744,Frankland,1.071776672,large,small,Eucalyptus diversicolor,Allocasuarina decussata,large_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.small
3,Eucalyptus diversicolor small,Allocasuarina decussata small,0.099650272,-0.090652872,0.289953416,0.096611902,0.102688642,0.097095225,Frankland,0.380606288,small,small,Eucalyptus diversicolor,Allocasuarina decussata,small_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.small
4,Eucalyptus guilfoylei large,Allocasuarina decussata small,0.093597939,-0.385739252,0.57293513,0.087684276,0.099511602,0.244564285,Frankland,0.958674382,large,small,Eucalyptus guilfoylei,Allocasuarina decussata,large_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.small
5,Eucalyptus guilfoylei small,Allocasuarina decussata small,0.306942291,-0.006352117,0.6202367,0.298702715,0.315181868,0.159847023,Frankland,0.626588818,small,small,Eucalyptus guilfoylei,Allocasuarina decussata,small_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.small
6,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.049998923,-0.456259206,0.356261359,-0.055928985,-0.044068862,0.207279463,Frankland,0.812520565,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
7,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.063486433,-0.2063068,0.079333934,-0.065348245,-0.061624621,0.072868873,Frankland,0.285640734,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
8,Eucalyptus guilfoylei large,Eucalyptus diversicolor large,-0.245763824,-0.49041081,-0.001116838,-0.249265736,-0.242261912,0.124822184,Frankland,0.489293972,large,large,Eucalyptus guilfoylei,Eucalyptus diversicolor,large_large,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
9,Eucalyptus guilfoylei small,Eucalyptus diversicolor large,-0.072916939,-0.273970847,0.128136968,-0.076257842,-0.069576036,0.102580409,Frankland,0.402107815,small,large,Eucalyptus guilfoylei,Eucalyptus diversicolor,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
10,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.404987204,0.229019226,0.580955182,0.398381418,0.411592989,0.08978123,Frankland,0.351935956,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
11,Eucalyptus guilfoylei large,Eucalyptus diversicolor small,-0.033488216,-0.184182634,0.117206201,-0.035423041,-0.031553392,0.07688632,Frankland,0.301388836,large,small,Eucalyptus guilfoylei,Eucalyptus diversicolor,large_small,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
12,Eucalyptus guilfoylei small,Eucalyptus diversicolor small,-0.04193937,-0.142115169,0.058236429,-0.044437491,-0.039441248,0.051111041,Frankland,0.200351598,small,small,Eucalyptus guilfoylei,Eucalyptus diversicolor,small_small,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
13,Eucalyptus guilfoylei large,Eucalyptus guilfoylei large,-0.211511953,-0.57662904,0.153605135,-0.217634601,-0.205389304,0.186287651,Frankland,0.730234175,large,large,Eucalyptus guilfoylei,Eucalyptus guilfoylei,large_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
14,Eucalyptus guilfoylei small,Eucalyptus guilfoylei large,0.127243522,-0.084242474,0.338729518,0.123421917,0.131065127,0.107903001,Frankland,0.422971992,small,large,Eucalyptus guilfoylei,Eucalyptus guilfoylei,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
15,Eucalyptus guilfoylei small,Eucalyptus guilfoylei small,0.244156825,0.055996439,0.432317212,0.237258604,0.251055046,0.096001961,Frankland,0.376320774,small,small,Eucalyptus guilfoylei,Eucalyptus guilfoylei,small_small,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
16,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.391633632,-0.810779648,0.027512384,-0.398495945,-0.384771318,0.213853938,Collins,0.838292032,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
17,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.040282117,-0.218717013,0.138152778,-0.042520959,-0.038043276,0.091039885,Collins,0.356869791,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
18,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.329667102,0.185598328,0.473735876,0.323279491,0.336054713,0.073505827,Collins,0.288137548,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
19,Allocasuarina decussata large,Allocasuarina decussata large,0.002384703,-0.450795319,0.455564726,-0.001049344,0.00581875,0.231218546,Clare,0.906360045,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.large_Subcanopy.large
20,Allocasuarina decussata small,Allocasuarina decussata large,0.045233534,-0.16528117,0.255748238,0.042675367,0.047791701,0.107407435,Clare,0.421029407,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.large_Subcanopy.small
21,Allocasuarina decussata small,Allocasuarina decussata small,0.21527125,0.074347643,0.356194856,0.209812238,0.220730262,0.07190112,Clare,0.281847213,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.small_Subcanopy.small
22,Acacia melanoxylon small,Acacia melanoxylon small,0.453797838,0.197820296,0.70977538,0.439634603,0.467961073,0.130603187,Sutton,0.511955085,small,small,Acacia melanoxylon,Acacia melanoxylon,small_small,N_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.small_Subcanopy.small
23,Corymbia calophylla small,Acacia melanoxylon small,0.004791069,-0.097677484,0.107259622,0.002127016,0.007455122,0.052280834,Sutton,0.204937105,small,small,Corymbia calophylla,Acacia melanoxylon,small_small,N_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.small
24,Eucalyptus diversicolor large,Acacia melanoxylon small,-0.056389568,-0.184187822,0.071408685,-0.059096834,-0.053682303,0.065204389,Sutton,0.255596508,large,small,Eucalyptus diversicolor,Acacia melanoxylon,large_small,N_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.small
25,Eucalyptus diversicolor small,Acacia melanoxylon small,-0.113380483,-0.236784093,0.010023127,-0.117042546,-0.10971842,0.062962183,Sutton,0.246807221,small,small,Eucalyptus diversicolor,Acacia melanoxylon,small_small,N_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.small
26,Corymbia calophylla small,Corymbia calophylla small,0.487730169,0.349378651,0.626081687,0.477991995,0.497468344,0.070588806,Sutton,0.276703036,small,small,Corymbia calophylla,Corymbia calophylla,small_small,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
27,Eucalyptus diversicolor large,Corymbia calophylla small,-0.010769326,-0.0708654,0.049326749,-0.012158129,-0.009380522,0.030661826,Sutton,0.120192149,large,small,Eucalyptus diversicolor,Corymbia calophylla,large_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
28,Eucalyptus diversicolor small,Corymbia calophylla small,-0.075017241,-0.122374902,-0.02765958,-0.077176045,-0.072858436,0.024162516,Sutton,0.094715322,small,small,Eucalyptus diversicolor,Corymbia calophylla,small_small,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
29,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.054078372,-0.273101626,0.164944882,-0.059092486,-0.049064258,0.111748612,Sutton,0.438046508,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
30,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.062589834,-0.165930339,0.040750672,-0.064978111,-0.060201556,0.052725717,Sutton,0.206681011,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
31,Eucalyptus diversicolor small,Eucalyptus diversicolor small,-0.002256849,-0.209858803,0.205345106,-0.009826525,0.005312828,0.105921311,Sutton,0.415203908,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
32,Allocasuarina decussata large,Allocasuarina decussata large,-0.154107751,-0.536213133,0.227997631,-0.162630447,-0.145585055,0.194955308,Giants,0.764210764,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.large_Subcanopy.large
33,Allocasuarina decussata small,Allocasuarina decussata large,-0.017875507,-0.129163176,0.093412163,-0.020098062,-0.015652952,0.056780467,Giants,0.222575339,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.large_Subcanopy.small
34,Eucalyptus jacksonii large,Allocasuarina decussata large,-0.27541779,-0.550083899,-0.000751682,-0.282023007,-0.268812574,0.140138345,Giants,0.549332217,large,large,Eucalyptus jacksonii,Allocasuarina decussata,large_large,S_WA,WA,1,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.large
35,Eucalyptus jacksonii small,Allocasuarina decussata large,-0.012023609,-0.18634123,0.162294012,-0.016585354,-0.007461864,0.088939196,Giants,0.348635242,small,large,Eucalyptus jacksonii,Allocasuarina decussata,small_large,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.large
36,Allocasuarina decussata small,Allocasuarina decussata small,0.329065186,0.192294745,0.465835626,0.321646971,0.3364834,0.069782119,Giants,0.273540882,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.small_Subcanopy.small
37,Eucalyptus jacksonii large,Allocasuarina decussata small,-0.019419306,-0.189020143,0.150181531,-0.022331717,-0.016506895,0.086532629,Giants,0.339201674,large,small,Eucalyptus jacksonii,Allocasuarina decussata,large_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.small
38,Eucalyptus jacksonii small,Allocasuarina decussata small,-0.026924319,-0.124357796,0.070509157,-0.029090931,-0.024757708,0.049711871,Giants,0.194866953,small,small,Eucalyptus jacksonii,Allocasuarina decussata,small_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.small
39,Eucalyptus jacksonii large,Eucalyptus jacksonii large,-0.502194439,-0.983074486,-0.021314393,-0.522143007,-0.482245872,0.245351471,Giants,0.961760093,large,large,Eucalyptus jacksonii,Eucalyptus jacksonii,large_large,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
40,Eucalyptus jacksonii small,Eucalyptus jacksonii large,0.366687122,0.098766904,0.63460734,0.354254255,0.379119989,0.136696501,Giants,0.535840436,small,large,Eucalyptus jacksonii,Eucalyptus jacksonii,small_large,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
41,Eucalyptus jacksonii small,Eucalyptus jacksonii small,0.335413411,0.171106949,0.499719873,0.32389394,0.346932882,0.083831368,Giants,0.328612925,small,small,Eucalyptus jacksonii,Eucalyptus jacksonii,small_small,S_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
42,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.141327271,-0.381202185,0.098547644,-0.14715898,-0.135495562,0.122387409,Warren,0.47974983,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
43,Eucalyptus diversicolor small,Eucalyptus diversicolor large,-0.235043959,-0.377514639,-0.092573279,-0.238541343,-0.231546574,0.072690458,Warren,0.28494136,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
44,Trymalium odoratissimum small,Eucalyptus diversicolor large,-0.045081796,-0.146788947,0.056625354,-0.047792946,-0.042370647,0.051892357,Warren,0.2034143,small,large,Trymalium odoratissimum,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Subcanopy,Canopy,Subcanopy_Canopy,Canopy.large_Subcanopy.small
45,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.032243915,-0.215538411,0.280026242,0.025536937,0.038950894,0.126421878,Warren,0.495564654,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
46,Trymalium odoratissimum small,Eucalyptus diversicolor small,-0.087749655,-0.202374485,0.026875175,-0.090662402,-0.084836908,0.058483131,Warren,0.22924966,small,small,Trymalium odoratissimum,Eucalyptus diversicolor,small_small,N_WA,WA,NA,Subcanopy,Canopy,Subcanopy_Canopy,Canopy.small_Subcanopy.small
47,Trymalium odoratissimum small,Trymalium odoratissimum small,0.367625933,0.22476733,0.510484536,0.359155335,0.376096531,0.072888382,Warren,0.285717206,small,small,Trymalium odoratissimum,Trymalium odoratissimum,small_small,N_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.small_Subcanopy.small
48,Allocasuarina decussata large,Allocasuarina decussata large,0.215393853,-0.163128911,0.593916617,0.205523949,0.225263757,0.193127408,Dawson,0.757045528,large,large,Allocasuarina decussata,Allocasuarina decussata,large_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.large_Subcanopy.large
49,Allocasuarina decussata small,Allocasuarina decussata large,0.077779409,-0.150203249,0.305762067,0.073568295,0.081990524,0.11631982,Dawson,0.455965316,small,large,Allocasuarina decussata,Allocasuarina decussata,small_large,S_WA,WA,NA,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.large_Subcanopy.small
50,Eucalyptus diversicolor large,Allocasuarina decussata large,-0.169067169,-0.448006774,0.109872436,-0.172047398,-0.16608694,0.14231874,Dawson,0.55787921,large,large,Eucalyptus diversicolor,Allocasuarina decussata,large_large,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.large
51,Eucalyptus diversicolor small,Allocasuarina decussata large,-0.006848065,-0.215791609,0.202095478,-0.009194535,-0.004501596,0.106605808,Dawson,0.417887087,small,large,Eucalyptus diversicolor,Allocasuarina decussata,small_large,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.large
52,Allocasuarina decussata small,Allocasuarina decussata small,0.229625889,0.042462568,0.416789209,0.223748562,0.235503215,0.095493245,Dawson,0.374326641,small,small,Allocasuarina decussata,Allocasuarina decussata,small_small,S_WA,WA,1,Subcanopy,Subcanopy,Subcanopy_Subcanopy,Subcanopy.small_Subcanopy.small
53,Eucalyptus diversicolor large,Allocasuarina decussata small,-0.015204076,-0.184089468,0.153681316,-0.018248611,-0.012159542,0.0861676,Dawson,0.337770784,large,small,Eucalyptus diversicolor,Allocasuarina decussata,large_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.large_Subcanopy.small
54,Eucalyptus diversicolor small,Allocasuarina decussata small,-0.026609326,-0.160316734,0.107098082,-0.029221707,-0.023996944,0.068219319,Dawson,0.267414816,small,small,Eucalyptus diversicolor,Allocasuarina decussata,small_small,S_WA,WA,NA,Canopy,Subcanopy,Canopy_Subcanopy,Canopy.small_Subcanopy.small
55,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.148186329,-0.445300961,0.148928303,-0.152274922,-0.144097735,0.151591884,Dawson,0.594229264,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
56,Eucalyptus diversicolor small,Eucalyptus diversicolor large,0.063054236,-0.117218801,0.243327273,0.060696966,0.065411506,0.091977729,Dawson,0.360546074,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
57,Eucalyptus diversicolor small,Eucalyptus diversicolor small,0.182705948,-0.004762756,0.370174653,0.178266212,0.187145685,0.095649056,Dawson,0.374937409,small,small,Eucalyptus diversicolor,Eucalyptus diversicolor,small_small,S_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.small_Canopy.small
58,Eucalyptus diversicolor large,Eucalyptus diversicolor large,-0.978814422,-1.943262437,-0.014366407,-0.994236054,-0.96339279,0.492074356,Carey,1.92889603,large,large,Eucalyptus diversicolor,Eucalyptus diversicolor,large_large,N_WA,WA,1,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.large
59,Eucalyptus diversicolor small,Eucalyptus diversicolor large,0.13418046,-0.214402364,0.482763284,0.130479836,0.137881084,0.177851648,Carey,0.697165648,small,large,Eucalyptus diversicolor,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Canopy,Canopy,Canopy_Canopy,Canopy.large_Canopy.small
60,Trymalium odoratissimum small,Eucalyptus diversicolor large,-0.024827217,-0.350491504,0.300837071,-0.029257874,-0.02039656,0.166158302,Carey,0.651328575,small,large,Trymalium odoratissimum,Eucalyptus diversicolor,small_large,N_WA,WA,NA,Subcanopy,Canopy,Subcanopy_Canopy,Canopy.large_Subcanopy.small
