"","iter","types","value","split","site"
"1",1,"large Eucalypt",0.591202799479167,"train","Frankland"
"2",1,"small Eucalypt",0.647228679825774,"train","Frankland"
"3",1,"small Non-euc",0.705342610677083,"train","Frankland"
"4",2,"large Eucalypt",0.569728597005208,"train","Frankland"
"5",2,"small Eucalypt",0.64117431640625,"train","Frankland"
"6",2,"small Non-euc",0.68260498046875,"train","Frankland"
"7",3,"large Eucalypt",0.610445149739583,"train","Frankland"
"8",3,"small Eucalypt",0.650164308801161,"train","Frankland"
"9",3,"small Non-euc",0.705672200520833,"train","Frankland"
"10",4,"large Eucalypt",0.598704020182292,"train","Frankland"
"11",4,"small Eucalypt",0.661945174225664,"train","Frankland"
"12",4,"small Non-euc",0.67347412109375,"train","Frankland"
"13",5,"large Eucalypt",0.614715576171875,"train","Frankland"
"14",5,"small Eucalypt",0.646205665790929,"train","Frankland"
"15",5,"small Non-euc",0.766866048177083,"train","Frankland"
"16",6,"large Eucalypt",0.62010498046875,"train","Frankland"
"17",6,"small Eucalypt",0.653619006671737,"train","Frankland"
"18",6,"small Non-euc",0.708235677083333,"train","Frankland"
"19",7,"large Eucalypt",0.587074788411458,"train","Frankland"
"20",7,"small Eucalypt",0.6517458215224,"train","Frankland"
"21",7,"small Non-euc",0.670585123697917,"train","Frankland"
"22",8,"large Eucalypt",0.613559977213542,"train","Frankland"
"23",8,"small Eucalypt",0.641986678131914,"train","Frankland"
"24",8,"small Non-euc",0.629085286458333,"train","Frankland"
"25",9,"large Eucalypt",0.628310139973958,"train","Frankland"
"26",9,"small Eucalypt",0.657813688295077,"train","Frankland"
"27",9,"small Non-euc",0.64677734375,"train","Frankland"
"28",10,"large Eucalypt",0.594496663411458,"train","Frankland"
"29",10,"small Eucalypt",0.646094398160951,"train","Frankland"
"30",10,"small Non-euc",0.7245361328125,"train","Frankland"
"31",11,"large Eucalypt",0.5646484375,"train","Frankland"
"32",11,"small Eucalypt",0.642453894150996,"train","Frankland"
"33",11,"small Non-euc",0.764860026041667,"train","Frankland"
"34",12,"large Eucalypt",0.636812337239583,"train","Frankland"
"35",12,"small Eucalypt",0.654246102392146,"train","Frankland"
"36",12,"small Non-euc",0.703548177083333,"train","Frankland"
"37",13,"large Eucalypt",0.614656575520833,"train","Frankland"
"38",13,"small Eucalypt",0.636383866841814,"train","Frankland"
"39",13,"small Non-euc",0.698970540364583,"train","Frankland"
"40",14,"large Eucalypt",0.600567626953125,"train","Frankland"
"41",14,"small Eucalypt",0.658166936013551,"train","Frankland"
"42",14,"small Non-euc",0.7029052734375,"train","Frankland"
"43",15,"large Eucalypt",0.605647786458333,"train","Frankland"
"44",15,"small Eucalypt",0.643594657425332,"train","Frankland"
"45",15,"small Non-euc",0.698465983072917,"train","Frankland"
"46",16,"large Eucalypt",0.646405029296875,"train","Frankland"
