"","iter","types","value","split","site"
"1",1,"large Eucalyptus diversicolor",0.585211181640625,"train","Collins"
"2",1,"small Eucalyptus diversicolor",0.537684122721354,"train","Collins"
"3",1,"small Non-euc",0.675576782226562,"train","Collins"
"4",2,"large Eucalyptus diversicolor",0.557961018880208,"train","Collins"
"5",2,"small Eucalyptus diversicolor",0.553546481662326,"train","Collins"
"6",2,"small Non-euc",0.662692260742187,"train","Collins"
"7",3,"large Eucalyptus diversicolor",0.572206624348958,"train","Collins"
"8",3,"small Eucalyptus diversicolor",0.531400892469618,"train","Collins"
"9",3,"small Non-euc",0.67265625,"train","Collins"
"10",4,"large Eucalyptus diversicolor",0.589910888671875,"train","Collins"
"11",4,"small Eucalyptus diversicolor",0.454513549804688,"train","Collins"
"12",4,"small Non-euc",0.671124267578125,"train","Collins"
"13",5,"large Eucalyptus diversicolor",0.586905924479167,"train","Collins"
"14",5,"small Eucalyptus diversicolor",0.52481926812066,"train","Collins"
"15",5,"small Non-euc",0.69825439453125,"train","Collins"
"16",6,"large Eucalyptus diversicolor",0.561604817708333,"train","Collins"
"17",6,"small Eucalyptus diversicolor",0.492265489366319,"train","Collins"
"18",6,"small Non-euc",0.701406860351563,"train","Collins"
"19",7,"large Eucalyptus diversicolor",0.567832438151042,"train","Collins"
"20",7,"small Eucalyptus diversicolor",0.513902452256944,"train","Collins"
"21",7,"small Non-euc",0.696853637695312,"train","Collins"
"22",8,"large Eucalyptus diversicolor",0.58458251953125,"train","Collins"
"23",8,"small Eucalyptus diversicolor",0.539530436197917,"train","Collins"
"24",8,"small Non-euc",0.691128540039063,"train","Collins"
"25",9,"large Eucalyptus diversicolor",0.616975911458333,"train","Collins"
"26",9,"small Eucalyptus diversicolor",0.548119439019097,"train","Collins"
"27",9,"small Non-euc",0.69217529296875,"train","Collins"
"28",10,"large Eucalyptus diversicolor",0.564320882161458,"train","Collins"
"29",10,"small Eucalyptus diversicolor",0.526231553819444,"train","Collins"
"30",10,"small Non-euc",0.701058959960937,"train","Collins"
"31",11,"large Eucalyptus diversicolor",0.588348388671875,"train","Collins"
"32",11,"small Eucalyptus diversicolor",0.549023098415799,"train","Collins"
"33",11,"small Non-euc",0.638504028320312,"train","Collins"
"34",12,"large Eucalyptus diversicolor",0.576271565755208,"train","Collins"
