"","site","types","auc_score","n_points"
"1","Frankland","large Eucalypt",0.613664245605469,40
"2","Frankland","small Eucalypt",0.650303290142276,123
"3","Frankland","small Non-euc",0.67829833984375,25
"4","Collins","large Eucalypt",0.576580810546875,40
"5","Collins","small Eucalypt",0.497559920601223,46
"6","Collins","small Non-euc",0.6562255859375,30
"7","Clare","large Eucalypt",0.547515124809451,41
"8","Collins","small Eucalypt",0.497559920601223,46
"9","Clare","small Non-euc",0.677508036295573,24
"10","Clare","large Non-euc",0.589493600945724,38
"11","Sutton","large Eucalypt",0.507701673005757,76
"12","Sutton","small Eucalypt",0.5992578125,150
"13","Sutton","small Non-euc",0.741663049768518,27
"14","Clare","large Non-euc",0.589493600945724,38
"15","Giants","large Eucalypt",0.685653483072917,75
"16","Giants","small Eucalypt",0.80723734104887,94
"17","Giants","small Non-euc",0.635009765625,74
"18","Giants","large Non-euc",0.82493896484375,10
"19","Warren","large Eucalypt",0.537310791015625,70
"20","Warren","small Eucalypt",0.676698472764757,36
"21","Warren","small Non-euc",0.626048018292683,41
"22","Giants","large Non-euc",0.82493896484375,10
"23","Dawson","large Eucalypt",0.587129720052083,45
"24","Dawson","small Eucalypt",0.572862243652344,40
"25","Dawson","small Non-euc",0.568972200960726,74
"26","Giants","large Non-euc",0.82493896484375,10
"27","Carey","large Eucalypt",0.540701882881031,57
"28","Carey","small Eucalypt",0.62989501953125,15
"29","Carey","small Non-euc",0.558382161458333,45
"30","Giants","large Non-euc",0.82493896484375,10
"31","Dombakup","large Eucalypt",0.518487079326923,65
"32","Dombakup","small Eucalypt",0.69512939453125,19
"33","Dombakup","small Non-euc",0.561746348505435,184
"34","Dombakup","large Non-euc",0.684834798177083,15
"35","Bird","large Eucalypt",0.595993454391892,74
"36","Bird","small Eucalypt",0.531195746527778,72
"37","Bird","small Non-euc",0.511954739350061,307
"38","Dombakup","large Non-euc",0.684834798177083,15
"39","Flowerdale","large Eucalypt",0.540983625986044,103
"40","Flowerdale","small Eucalypt",0.509036847014925,67
"41","Flowerdale","small Non-euc",0.567570029145078,193
"42","Dombakup","large Non-euc",0.684834798177083,15
"43","Dip","large Eucalypt",0.616607016705452,47
"44","Flowerdale","small Eucalypt",0.509036847014925,67
"45","Dip","small Non-euc",0.529034276619028,539
"46","Dip","large Non-euc",0.606802368164063,20
"47","Weld","large Eucalypt",0.652665201822917,45
"48","Weld","small Eucalypt",0.700257348232582,61
"49","Weld","small Non-euc",0.578940651633523,154
"50","Weld","large Non-euc",0.682145552201705,11
"51","ZigZag","large Eucalypt",0.548074527662628,98
"52","ZigZag","small Eucalypt",0.590840657552083,147
"53","ZigZag","small Non-euc",0.527139722686453,776
"54","Weld","large Non-euc",0.682145552201705,11
"55","NorthStyx","large Eucalypt",0.538049032521802,86
"56","NorthStyx","small Eucalypt",0.688081395348837,215
"57","NorthStyx","small Non-euc",0.65843101885679,139
"58","Weld","large Non-euc",0.682145552201705,11
"59","Newline","large Eucalypt",0.521578275240385,104
"60","Newline","small Eucalypt",0.493533770243327,192
"61","NorthStyx","small Non-euc",0.65843101885679,139
"62","Weld","large Non-euc",0.682145552201705,11
"63","WaratahMix","large Eucalypt",0.54119802891523,87
"64","WaratahMix","small Eucalypt",0.590528021918403,180
"65","NorthStyx","small Non-euc",0.65843101885679,139
"66","Weld","large Non-euc",0.682145552201705,11
"67","WogWay","large Eucalypt",0.555613798253677,68
"68","WogWay","small Eucalypt",0.634607740670196,121
"69","WogWay","small Non-euc",0.666560581752232,14
"70","Weld","large Non-euc",0.682145552201705,11
"71","Goodenia","large Eucalypt",0.524867350260417,75
"72","Goodenia","small Eucalypt",0.551297815834604,41
"73","Goodenia","small Non-euc",0.592180754009046,38
"74","Weld","large Non-euc",0.682145552201705,11
"75","Candelo","large Eucalypt",0.53059561041337,79
"76","Candelo","small Eucalypt",0.500059291294643,70
"77","Goodenia","small Non-euc",0.592180754009046,38
"78","Weld","large Non-euc",0.682145552201705,11
"79","ANU101","large Eucalypt",0.579994895241477,110
"80","ANU101","small Eucalypt",0.677683512369792,12
"81","ANU101","small Non-euc",0.54832118010718,121
"82","Weld","large Non-euc",0.682145552201705,11
"83","Ada Tree","large Eucalypt",0.519738260904948,120
"84","Ada Tree","small Eucalypt",0.543233598981585,56
"85","Ada Tree","small Non-euc",0.543003237344385,246
"86","Weld","large Non-euc",0.682145552201705,11
"87","Weeaproinah","large Eucalypt",0.558417320251465,128
"88","Weeaproinah","small Eucalypt",0.550210886988147,116
"89","Weeaproinah","small Non-euc",0.459997490270814,536
"90","Weld","large Non-euc",0.682145552201705,11
"91","ANU589","large Eucalypt",0.535788333777225,132
"92","ANU589","small Eucalypt",0.632703993055556,18
"93","ANU589","small Non-euc",0.668487308532234,127
"94","Weld","large Non-euc",0.682145552201705,11
"95","Turtons","large Eucalypt",0.528803185571598,79
"96","ANU589","small Eucalypt",0.632703993055556,18
"97","Turtons","small Non-euc",0.51885326488598,370
"98","Turtons","large Non-euc",0.564855402166193,22
"99","Lardner","large Eucalypt",0.495636219286737,131
"100","Lardner","small Eucalypt",0.603260387073864,11
"101","Lardner","small Non-euc",0.523515499610555,331
"102","Turtons","large Non-euc",0.564855402166193,22
"103","HardyCreek","large Eucalypt",0.50054296875,125
"104","HardyCreek","small Eucalypt",0.577684190538194,18
"105","HardyCreek","small Non-euc",0.542316783558239,66
"106","Turtons","large Non-euc",0.564855402166193,22
"107","MinesRd","large Eucalypt",0.578366088867188,40
"108","MinesRd","small Eucalypt",0.574883355034722,54
"109","MinesRd","small Non-euc",0.527843361129304,167
"110","Turtons","large Non-euc",0.564855402166193,22
"111","Tinebank","large Eucalypt",0.580780029296875,54
"112","Tinebank","small Eucalypt",0.645286560058594,32
"113","Tinebank","small Non-euc",0.537192333703754,348
"114","Tinebank","large Non-euc",0.641867065429688,20
"115","Lorne","large Eucalypt",0.527243404065148,59
"116","Lorne","small Eucalypt",0.569136797371557,118
"117","Lorne","small Non-euc",0.548828726331589,203
"118","Tinebank","large Non-euc",0.641867065429688,20
"119","BirdTree","large Eucalypt",0.48572021484375,100
"120","BirdTree","small Eucalypt",0.572673182333669,31
"121","BirdTree","small Non-euc",0.539403400462338,463
"122","Tinebank","large Non-euc",0.641867065429688,20
"123","A-Tree","large Eucalypt",0.549496299342105,76
"124","A-Tree","small Eucalypt",0.611214164253715,143
"125","A-Tree","small Non-euc",0.497581380208333,225
"126","Tinebank","large Non-euc",0.641867065429688,20
"127","BlackBull","large Eucalypt",0.584310726243622,49
"128","BlackBull","small Eucalypt",0.535949102722772,101
"129","BlackBull","small Non-euc",0.5292694237814,209
"130","Tinebank","large Non-euc",0.641867065429688,20
"131","Bruxner","large Eucalypt",0.508822970920139,81
"132","Bruxner","small Eucalypt",0.600816458709969,121
"133","Bruxner","small Non-euc",0.522245374576066,645
"134","Tinebank","large Non-euc",0.641867065429688,20
"135","Osullivans","large Eucalypt",0.579418006310096,65
"136","Osullivans","small Eucalypt",0.599652430807897,129
"137","Osullivans","small Non-euc",0.549706153620302,306
"138","Osullivans","large Non-euc",0.702802385602679,14
"139","Herberton","large Eucalypt",0.706591796875,20
"140","Herberton","small Eucalypt",0.602038288674159,171
