"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","site","range_ci","size_from","size_to","species_from","species_to","size_int","georegion","sig","class_from","class_to","class_int","group"
"1","Allocasuarina decussata small","Allocasuarina decussata small",-0.0836300666395186,-0.747501197633462,0.580241064354425,-0.0920864449290818,-0.0751736883499554,0.3387159846969,"Frankland",1.32774226198789,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"2","Eucalyptus diversicolor large","Allocasuarina decussata small",0.23640934337406,-0.298721937259374,0.771540624007495,0.230289871217669,0.242528815530451,0.273031180600502,"Frankland",1.07026256126687,"large","small","Eucalyptus diversicolor","Allocasuarina decussata","large_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"3","Eucalyptus diversicolor small","Allocasuarina decussata small",0.102771378940512,-0.0893308459440212,0.294873603825046,0.0999163608947903,0.105626396986234,0.0980131402412551,"Frankland",0.384204449769067,"small","small","Eucalyptus diversicolor","Allocasuarina decussata","small_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"4","Eucalyptus guilfoylei large","Allocasuarina decussata small",0.0867080690505198,-0.395511783963514,0.568927922064553,0.0805648299629811,0.0928513081380585,0.246035058203989,"Frankland",0.964439706028067,"large","small","Eucalyptus guilfoylei","Allocasuarina decussata","large_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"5","Eucalyptus guilfoylei small","Allocasuarina decussata small",0.313841830407595,-0.00552152986964577,0.633205190684835,0.305398325082752,0.322285335732438,0.162943484062125,"Frankland",0.638726720554481,"small","small","Eucalyptus guilfoylei","Allocasuarina decussata","small_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"6","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.0519035694877273,-0.460763752392123,0.356956613416669,-0.0579258453894928,-0.0458812935859619,0.208605967318498,"Frankland",0.817720365808792,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"7","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.0641044153187429,-0.206583861824031,0.0783750311865458,-0.0659025705125173,-0.0623062601249684,0.0726949309421746,"Frankland",0.284958893010577,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"8","Eucalyptus guilfoylei large","Eucalyptus diversicolor large",-0.24296334075241,-0.487385137256465,0.00145845575164608,-0.246374648758605,-0.239552032746214,0.124707289742069,"Frankland",0.488843593008111,"large","large","Eucalyptus guilfoylei","Eucalyptus diversicolor","large_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"9","Eucalyptus guilfoylei small","Eucalyptus diversicolor large",-0.0747573695793941,-0.273758080352386,0.124243341193598,-0.0781381052296213,-0.0713766339291668,0.101532840573951,"Frankland",0.398001421545984,"small","large","Eucalyptus guilfoylei","Eucalyptus diversicolor","small_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"10","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.409841107199646,0.232290616425401,0.587391597973892,0.402608331586919,0.417073882812373,0.0905886496765969,"Frankland",0.355100981548492,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","S_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"11","Eucalyptus guilfoylei large","Eucalyptus diversicolor small",-0.033616877803951,-0.184722420168779,0.117488664560877,-0.0355933146384188,-0.0316404409694833,0.0770960811304337,"Frankland",0.302211084729656,"large","small","Eucalyptus guilfoylei","Eucalyptus diversicolor","large_small","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"12","Eucalyptus guilfoylei small","Eucalyptus diversicolor small",-0.0422184319801097,-0.143522748236282,0.0590858842760627,-0.0448932513629601,-0.0395436125972594,0.0516868253984502,"Frankland",0.202608632512345,"small","small","Eucalyptus guilfoylei","Eucalyptus diversicolor","small_small","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"13","Eucalyptus guilfoylei large","Eucalyptus guilfoylei large",-0.213327987098003,-0.576305704072263,0.149649729876258,-0.219308040252819,-0.207347933943186,0.185196115764056,"Frankland",0.725955433948521,"large","large","Eucalyptus guilfoylei","Eucalyptus guilfoylei","large_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"14","Eucalyptus guilfoylei small","Eucalyptus guilfoylei large",0.131918310286605,-0.0821893986492531,0.346026019222463,0.128102645705132,0.135733974868078,0.109240634330382,"Frankland",0.428215417871716,"small","large","Eucalyptus guilfoylei","Eucalyptus guilfoylei","small_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"15","Eucalyptus guilfoylei small","Eucalyptus guilfoylei small",0.235990032557878,0.0481743506669718,0.423805714448784,0.22951840989812,0.242461655217636,0.0958260883222204,"Frankland",0.375631363781812,"small","small","Eucalyptus guilfoylei","Eucalyptus guilfoylei","small_small","S_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"16","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.500278190220759,-0.984147662876925,-0.0164087175645919,-0.510460919094998,-0.49009546134652,0.246876716344212,"Collins",0.967738945312334,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"17","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.0221710875460677,-0.231978331194061,0.187636156101925,-0.0244765208702697,-0.0198656542218657,0.107046479069476,"Collins",0.419614487295986,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"18","Misc_small","Eucalyptus diversicolor large",-0.163590260744205,-0.391585076884265,0.0644045553958545,-0.167297606071338,-0.159882915417073,0.116326023303721,"Collins",0.45598963228012,"small","large","Misc","Eucalyptus diversicolor","small_large","N_WA",NA,"Misc","Canopy","Misc_Canopy","Misc.small_Canopy.large"
"19","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.335906902665525,0.190326291224814,0.481487514106235,0.33024197466033,0.34157183067072,0.0742771870243698,"Collins",0.291161222881421,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"20","Misc_small","Eucalyptus diversicolor small",-0.00684380544041188,-0.0943319929515497,0.080644382070726,-0.00938624234789103,-0.00430136853293274,0.04463765059013,"Collins",0.174976375022276,"small","small","Misc","Eucalyptus diversicolor","small_small","N_WA",NA,"Misc","Canopy","Misc_Canopy","Misc.small_Canopy.small"
"21","Misc_small","Misc_small",0.332339424647653,0.208158029355585,0.45652081993972,0.325793975434038,0.338884873861267,0.0633590189776927,"Collins",0.248362790584135,"small","small","Misc","Misc","small_small","N_WA",1,"Misc","Misc","Misc_Misc","Misc.small_Misc.small"
"22","Allocasuarina decussata large","Allocasuarina decussata large",-0.27356080648578,-0.982479278592625,0.435357665621064,-0.27939652157507,-0.267725091396491,0.361699744331377,"Clare",1.41783694421369,"large","large","Allocasuarina decussata","Allocasuarina decussata","large_large","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.large_Subcanopy.large"
"23","Allocasuarina decussata small","Allocasuarina decussata large",0.0203486195609268,-0.237244191588233,0.277941430710087,0.0174464414173007,0.0232507977045529,0.131427318655353,"Clare",0.51518562229832,"small","large","Allocasuarina decussata","Allocasuarina decussata","small_large","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.large_Subcanopy.small"
"24","Eucalyptus jacksonii small","Allocasuarina decussata large",0.63224469570812,-0.239791269603705,1.50428066101994,0.623531563082667,0.640957828333572,0.444924484424374,"Clare",1.74407193062365,"small","large","Eucalyptus jacksonii","Allocasuarina decussata","small_large","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.large"
"25","Misc_large","Allocasuarina decussata large",-0.10333048743091,-0.667010032979396,0.460349058117576,-0.107692494181609,-0.0989684806802108,0.287596889532011,"Clare",1.12735909109697,"large","large","Misc","Allocasuarina decussata","large_large","S_WA",NA,"Misc","Subcanopy","Misc_Subcanopy","Misc.large_Subcanopy.large"
"26","Allocasuarina decussata small","Allocasuarina decussata small",0.153792971057197,-0.0296230185457448,0.337208960660139,0.147996608389289,0.159589333725105,0.0935813061105733,"Clare",0.366831979205884,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"27","Eucalyptus jacksonii small","Allocasuarina decussata small",-0.00593327036092051,-0.378666076611116,0.366799535889275,-0.00977039709241515,-0.00209614362942587,0.190173293586139,"Clare",0.74546561250039,"small","small","Eucalyptus jacksonii","Allocasuarina decussata","small_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"28","Misc_large","Allocasuarina decussata small",-0.310971328658458,-0.653931500006994,0.0319888426900778,-0.315511088479954,-0.306431568836963,0.174982894611208,"Clare",0.685920342697072,"large","small","Misc","Allocasuarina decussata","large_small","S_WA",NA,"Misc","Subcanopy","Misc_Subcanopy","Misc.large_Subcanopy.small"
"29","Eucalyptus jacksonii small","Eucalyptus jacksonii small",-1.04475419118883,-2.50885913658979,0.419350754212124,-1.05753018278244,-1.03197819959522,0.747006045493503,"Clare",2.92820989080191,"small","small","Eucalyptus jacksonii","Eucalyptus jacksonii","small_small","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"30","Misc_large","Eucalyptus jacksonii small",0.187621927487087,-0.612563091581497,0.987806946555672,0.180273016254634,0.194970838719541,0.408265164758303,"Clare",1.60037003813717,"large","small","Misc","Eucalyptus jacksonii","large_small","S_WA",NA,"Misc","Canopy","Misc_Canopy","Misc.large_Canopy.small"
"31","Misc_large","Misc_large",-0.556740134658049,-1.29570733621144,0.182227066895345,-0.566712044171984,-0.546768225144114,0.377031010458495,"Clare",1.47793440310679,"large","large","Misc","Misc","large_large","S_WA",NA,"Misc","Misc","Misc_Misc","Misc.large_Misc.large"
"32","Acacia melanoxylon small","Acacia melanoxylon small",0.455914166167053,0.201170981439048,0.710657350895058,0.440601314849546,0.47122701748456,0.129973400908071,"Sutton",0.509486369456011,"small","small","Acacia melanoxylon","Acacia melanoxylon","small_small","N_WA",1,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"33","Corymbia calophylla large","Acacia melanoxylon small",0.0535340093498144,-0.311243168681468,0.418311187381097,0.0458090901643377,0.0612589285352911,0.186114225010561,"Sutton",0.729554356062565,"large","small","Corymbia calophylla","Acacia melanoxylon","large_small","N_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"34","Corymbia calophylla small","Acacia melanoxylon small",-0.00391123931321547,-0.143916064184971,0.13609358555854,-0.00725111533368527,-0.000571363292745664,0.0714323456839492,"Sutton",0.280009649743511,"small","small","Corymbia calophylla","Acacia melanoxylon","small_small","N_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"35","Eucalyptus diversicolor large","Acacia melanoxylon small",-0.0577361289819685,-0.190488770992465,0.0750165130285279,-0.0605305539480194,-0.0549417040159177,0.0677321843960564,"Sutton",0.265505284020993,"large","small","Eucalyptus diversicolor","Acacia melanoxylon","large_small","N_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"36","Eucalyptus diversicolor small","Acacia melanoxylon small",-0.11053933034003,-0.233039174131671,0.0119605134516109,-0.114127655934326,-0.106951004745734,0.0625010687736632,"Sutton",0.244999687583282,"small","small","Eucalyptus diversicolor","Acacia melanoxylon","small_small","N_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"37","Corymbia calophylla large","Corymbia calophylla large",-0.836542257940031,-2.35939765199368,0.686313136113612,-0.860807131048649,-0.812277384831413,0.776981314996466,"Sutton",3.04571078810729,"large","large","Corymbia calophylla","Corymbia calophylla","large_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"38","Corymbia calophylla small","Corymbia calophylla large",0.518710500641297,-0.170303814377838,1.20772481566043,0.508267146625438,0.529153854657155,0.351544375536486,"Sutton",1.37802863003827,"small","large","Corymbia calophylla","Corymbia calophylla","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"39","Eucalyptus diversicolor large","Corymbia calophylla large",-0.544799775343356,-1.17124612325933,0.0816465725726225,-0.55579740702436,-0.533802143662352,0.319621356748036,"Sutton",1.25289269583196,"large","large","Eucalyptus diversicolor","Corymbia calophylla","large_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"40","Eucalyptus diversicolor small","Corymbia calophylla large",-0.0217267311696298,-0.272665520158697,0.229212057819438,-0.0280291526163001,-0.0154243097229594,0.128032347006598,"Sutton",0.501877577978135,"small","large","Eucalyptus diversicolor","Corymbia calophylla","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
