"","iter","types","value","split","site"
"1",1,"Eucalyptus Co/dominant",0.531148274739583,"train","Frankland"
"2",1,"Eucalyptus Suppressed",0.615130859375,"train","Frankland"
"3",1,"Non-euc Suppressed",0.668132781982422,"train","Frankland"
"4",2,"Eucalyptus Co/dominant",0.6144287109375,"train","Frankland"
"5",2,"Eucalyptus Suppressed",0.6196806640625,"train","Frankland"
"6",2,"Non-euc Suppressed",0.645191192626953,"train","Frankland"
"7",3,"Eucalyptus Co/dominant",0.551005045572917,"train","Frankland"
"8",3,"Eucalyptus Suppressed",0.60368310546875,"train","Frankland"
"9",3,"Non-euc Suppressed",0.656452178955078,"train","Frankland"
"10",4,"Eucalyptus Co/dominant",0.602933756510417,"train","Frankland"
"11",4,"Eucalyptus Suppressed",0.61456787109375,"train","Frankland"
"12",4,"Non-euc Suppressed",0.650951385498047,"train","Frankland"
"13",5,"Eucalyptus Co/dominant",0.56187744140625,"train","Frankland"
"14",5,"Eucalyptus Suppressed",0.61114404296875,"train","Frankland"
"15",5,"Non-euc Suppressed",0.708759307861328,"train","Frankland"
"16",6,"Eucalyptus Co/dominant",0.5897705078125,"train","Frankland"
"17",6,"Eucalyptus Suppressed",0.61767431640625,"train","Frankland"
"18",6,"Non-euc Suppressed",0.610084533691406,"train","Frankland"
"19",7,"Eucalyptus Co/dominant",0.511043294270833,"train","Frankland"
"20",7,"Eucalyptus Suppressed",0.605546875,"train","Frankland"
"21",7,"Non-euc Suppressed",0.555931091308594,"train","Frankland"
"22",8,"Eucalyptus Co/dominant",0.58009033203125,"train","Frankland"
"23",8,"Eucalyptus Suppressed",0.612388671875,"train","Frankland"
"24",8,"Non-euc Suppressed",0.608219146728516,"train","Frankland"
"25",9,"Eucalyptus Co/dominant",0.615450032552083,"train","Frankland"
"26",9,"Eucalyptus Suppressed",0.6131787109375,"train","Frankland"
"27",9,"Non-euc Suppressed",0.650394439697266,"train","Frankland"
"28",10,"Eucalyptus Co/dominant",0.572001139322917,"train","Frankland"
"29",10,"Eucalyptus Suppressed",0.6254833984375,"train","Frankland"
"30",10,"Non-euc Suppressed",0.617931365966797,"train","Frankland"
"31",11,"Eucalyptus Co/dominant",0.541768391927083,"train","Frankland"
"32",11,"Eucalyptus Suppressed",0.62216162109375,"train","Frankland"
"33",11,"Non-euc Suppressed",0.668754577636719,"train","Frankland"
"34",12,"Eucalyptus Co/dominant",0.657462565104167,"train","Frankland"
"35",12,"Eucalyptus Suppressed",0.61249609375,"train","Frankland"
