from,to,alpha,lo,hi,lo_numerical,hi_numerical,Site,class_from,class_to,species_from,species_to,class_int,dom_euc
Eucalyptus Co-dominant,Eucalyptus Co-dominant,-0.100185787,-0.610343344,0.409971771,-0.106770754,-0.093600819,BlackBull,Co-dominant,Co-dominant,Eucalyptus,Eucalyptus,Co-dominant_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Co-dominant,0.774600455,-0.156719007,1.705919917,0.738350206,0.810850704,BlackBull,Dominant,Co-dominant,Eucalyptus,Eucalyptus,Dominant_Co-dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Co-dominant,0.398676345,-0.266730192,1.064082883,0.387937915,0.409414775,BlackBull,Intermediate,Co-dominant,Eucalyptus,Eucalyptus,Intermediate_Co-dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Co-dominant,-0.075436115,-0.385809363,0.234937132,-0.080133556,-0.070738675,BlackBull,Suppressed,Co-dominant,Eucalyptus,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Co-dominant,0.045332766,-0.075633301,0.166298832,0.04169964,0.048965891,BlackBull,Suppressed,Co-dominant,Non-euc,Eucalyptus,Suppressed_Co-dominant,E. pilularis
Eucalyptus Dominant,Eucalyptus Dominant,-8.940298797,-21.83212957,3.951531975,-9.086658193,-8.793939401,BlackBull,Dominant,Dominant,Eucalyptus,Eucalyptus,Dominant_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Dominant,-0.489259246,-2.100836927,1.122318435,-0.52992116,-0.448597332,BlackBull,Intermediate,Dominant,Eucalyptus,Eucalyptus,Intermediate_Dominant,E. pilularis
Eucalyptus Suppressed,Eucalyptus Dominant,1.174641009,-0.255412624,2.604694641,1.150871969,1.198410049,BlackBull,Suppressed,Dominant,Eucalyptus,Eucalyptus,Suppressed_Dominant,E. pilularis
Non-euc Suppressed,Eucalyptus Dominant,-0.254297653,-0.554404676,0.045809371,-0.269870363,-0.238724942,BlackBull,Suppressed,Dominant,Non-euc,Eucalyptus,Suppressed_Dominant,E. pilularis
Eucalyptus Intermediate,Eucalyptus Intermediate,-1.601549405,-3.745019373,0.541920563,-1.620454232,-1.582644579,BlackBull,Intermediate,Intermediate,Eucalyptus,Eucalyptus,Intermediate_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Intermediate,0.30054793,-0.313061825,0.914157684,0.291660662,0.309435197,BlackBull,Suppressed,Intermediate,Eucalyptus,Eucalyptus,Suppressed_Intermediate,E. pilularis
Non-euc Suppressed,Eucalyptus Intermediate,-0.146780976,-0.337678416,0.044116464,-0.151625801,-0.141936151,BlackBull,Suppressed,Intermediate,Non-euc,Eucalyptus,Suppressed_Intermediate,E. pilularis
Eucalyptus Suppressed,Eucalyptus Suppressed,0.081572666,-0.274387,0.437532333,0.076061207,0.087084125,BlackBull,Suppressed,Suppressed,Eucalyptus,Eucalyptus,Suppressed_Suppressed,E. pilularis
Non-euc Suppressed,Eucalyptus Suppressed,0.03439764,-0.067410916,0.136206197,0.031367646,0.037427635,BlackBull,Suppressed,Suppressed,Non-euc,Eucalyptus,Suppressed_Suppressed,E. pilularis
