"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","class_from","class_to","species_from","species_to","range_ci","region","sig"
"1","Frankland","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.0899338429517202,-0.551228736306741,0.371361050403301,-0.0954957106177148,-0.0843719752857256,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.922589786710042,"WA",NA
"2","Frankland","Eucalyptus Suppressed","Eucalyptus Co/dominant",-0.0833767244674509,-0.241912376020631,0.0751589270857291,-0.0861355960347006,-0.0806178529002011,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.31707130310636,"WA",NA
"3","Frankland","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0651444958788633,-0.506929915465773,0.376640923708047,-0.0698975795106025,-0.060391412247124,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.88357083917382,"WA",NA
"5","Frankland","Eucalyptus Suppressed","Eucalyptus Suppressed",0.186530647935263,0.0412820746808023,0.331779221189725,0.177682003465104,0.195379292405423,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.290497146508922,"WA",1
"6","Frankland","Non-euc Suppressed","Eucalyptus Suppressed",0.206922352671017,0.0364210167076132,0.37742368863442,0.20267383615541,0.211170869186623,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.341002671926807,"WA",1
"9","Frankland","Non-euc Suppressed","Non-euc Suppressed",-0.128465411518344,-0.745919118564627,0.48898829552794,-0.13664230367902,-0.120288519357667,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",1.23490741409257,"WA",NA
"14","Clare","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.422920214142316,-1.1469026081531,0.301062179868466,-0.431639463916036,-0.414200964368596,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",1.44796478802156,"WA",NA
"22","Clare","Eucalyptus Suppressed","Eucalyptus Co/dominant",-0.0807631388831846,-0.645895023793417,0.484368746027048,-0.0863894005075829,-0.0751368772587864,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",1.13026376982047,"WA",NA
"32","Clare","Non-euc Suppressed","Eucalyptus Co/dominant",-0.132693761391763,-0.370902551895831,0.105515029112305,-0.136248969982567,-0.129138552800959,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.476417581008136,"WA",NA
"51","Clare","Eucalyptus Suppressed","Eucalyptus Suppressed",0.336807596510533,-0.471474415527119,1.14508960854818,0.326257393836439,0.347357799184627,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",1.6165640240753,"WA",NA
"62","Clare","Non-euc Suppressed","Eucalyptus Suppressed",-0.0892864096902854,-0.291565587644877,0.112992768264306,-0.0929982283645079,-0.0855745910160628,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.404558355909183,"WA",NA
"91","Clare","Non-euc Suppressed","Non-euc Suppressed",0.187674972133884,0.0274632015953202,0.347886742672448,0.181253407655947,0.194096536611821,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.320423541077127,"WA",1
"15","Sutton","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.209444207010715,-0.438538528870116,0.0196501148486868,-0.216333500129181,-0.202554913892249,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.458188643718803,"WA",NA
"23","Sutton","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.148928621760617,-0.0803878469888713,0.378245090510105,0.144433717053705,0.15342352646753,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.458632937498977,"WA",NA
"33","Sutton","Eucalyptus Suppressed","Eucalyptus Co/dominant",-0.0541094718053972,-0.130360643772452,0.0221417001616576,-0.0561575276834813,-0.0520614159273131,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.15250234393411,"WA",NA
"41","Sutton","Non-euc Suppressed","Eucalyptus Co/dominant",-0.150099486959707,-0.311836482129074,0.0116375082096612,-0.15456066432145,-0.145638309597963,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.323473990338736,"WA",NA
"63","Sutton","Eucalyptus Intermediate","Eucalyptus Intermediate",0.00118181711074766,-0.432989618468346,0.435353252689842,-0.0046565963162599,0.00702023053775521,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.868342871158188,"WA",NA
"71","Sutton","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.0436454105473747,-0.124707589401828,0.0374167683070785,-0.0454328541858755,-0.0418579669088739,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.162124357708906,"WA",NA
"81","Sutton","Non-euc Suppressed","Eucalyptus Intermediate",-0.0754579153252055,-0.304369193770728,0.153453363120317,-0.0793856340974756,-0.0715301965529353,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.457822556891044,"WA",NA
"111","Sutton","Eucalyptus Suppressed","Eucalyptus Suppressed",0.357561440418242,0.263731316635455,0.45139156420103,0.347964910643733,0.367157970192752,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.187660247565575,"WA",1
"121","Sutton","Non-euc Suppressed","Eucalyptus Suppressed",-0.0288955690310322,-0.0949401770884284,0.0371490390263639,-0.0310925451010952,-0.0266985929609693,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.132089216114792,"WA",NA
"161","Sutton","Non-euc Suppressed","Non-euc Suppressed",0.414417426462344,0.248090326987052,0.580744525937636,0.399077825260359,0.429757027664329,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.332654198950585,"WA",1
"17","Giants","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.221080347343584,-0.616100445837604,0.173939751150436,-0.233657223524597,-0.208503471162571,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.790040196988039,"WA",NA
"24","Giants","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.119934731540616,-0.10294661934016,0.342816082421393,0.111847552349802,0.12802191073143,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.445762701761553,"WA",NA
"34","Giants","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.161351781413386,-0.0225791429065064,0.345282705733279,0.154729248660177,0.167974314166595,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.367861848639785,"WA",NA
"42","Giants","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0915626228209988,-0.234391971183369,0.0512667255413713,-0.0951199922018593,-0.0880052534401383,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.28565869672474,"WA",NA
"64","Giants","Eucalyptus Intermediate","Eucalyptus Intermediate",0.256041191968816,0.044637590851445,0.467444793086187,0.24372915108541,0.268353232852222,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",0.422807202234742,"WA",1
"72","Giants","Eucalyptus Suppressed","Eucalyptus Intermediate",0.0960249761244519,-0.0336154413140198,0.225665393562924,0.090381395951998,0.101668556296906,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.259280834876943,"WA",NA
"82","Giants","Non-euc Suppressed","Eucalyptus Intermediate",-0.183017492553073,-0.362920585222508,-0.0031143998836389,-0.188648139910176,-0.177386845195971,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.359806185338869,"WA",1
"112","Giants","Eucalyptus Suppressed","Eucalyptus Suppressed",0.292300610999654,0.114429911835767,0.47017131016354,0.281592224264867,0.303008997734441,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.355741398327773,"WA",1
"122","Giants","Non-euc Suppressed","Eucalyptus Suppressed",0.00340112438321968,-0.0967781822494386,0.103580431015878,0.000307241642017769,0.00649500712442158,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.200358613265316,"WA",NA
"162","Giants","Non-euc Suppressed","Non-euc Suppressed",0.166682918820297,0.0041373246969208,0.329228512943673,0.158789004214122,0.174576833426471,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.325091188246752,"WA",1
"18","Warren","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.180361564156491,-0.480126612961744,0.119403484648762,-0.187563513576495,-0.173159614736487,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.599530097610506,"WA",NA
"25","Warren","Eucalyptus Intermediate","Eucalyptus Co/dominant",-0.0730816578095891,-0.342287767523269,0.196124451904091,-0.0762055159137859,-0.0699577997053922,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",0.538412219427359,"WA",NA
"35","Warren","Eucalyptus Suppressed","Eucalyptus Co/dominant",-0.340081269062603,-0.557930571735368,-0.122231966389838,-0.345482765400026,-0.33467977272518,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.43569860534553,"WA",1
"43","Warren","Non-euc Suppressed","Eucalyptus Co/dominant",-0.064789873544639,-0.19825768435983,0.0686779372705516,-0.0683675133930272,-0.0612122336962509,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.266935621630381,"WA",NA
"65","Warren","Eucalyptus Intermediate","Eucalyptus Intermediate",0.199557587649248,-0.352267508691988,0.751382683990484,0.194114530324508,0.205000644973987,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",1.10365019268247,"WA",NA
"73","Warren","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.00682052296904697,-0.332403526054451,0.318762480116357,-0.0110521144203693,-0.00258893151772458,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",0.651166006170808,"WA",NA
"83","Warren","Non-euc Suppressed","Eucalyptus Intermediate",-0.0303150074287608,-0.267887848260292,0.207257833402771,-0.0346211291277126,-0.026008885729809,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.475145681663063,"WA",NA
"113","Warren","Eucalyptus Suppressed","Eucalyptus Suppressed",-0.125009520390871,-0.502144088008877,0.252125047227134,-0.134232048928663,-0.11578699185308,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.754269135236012,"WA",NA
"123","Warren","Non-euc Suppressed","Eucalyptus Suppressed",-0.136766657703179,-0.3047823914673,0.0312490760609412,-0.140661504291665,-0.132871811114693,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.336031467528241,"WA",NA
"163","Warren","Non-euc Suppressed","Non-euc Suppressed",0.367181089452434,0.217982700690852,0.516379478214017,0.355428114321342,0.378934064583527,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.298396777523165,"WA",1
"19","Dawson","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.199110864381034,-0.520817203436242,0.122595474674174,-0.20416177457759,-0.194059954184477,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.643412678110416,"WA",NA
"26","Dawson","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.117988095585412,-0.0899394420704625,0.325915633241286,0.115003945476855,0.120972245693969,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.415855075311749,"WA",NA
"36","Dawson","Non-euc Suppressed","Eucalyptus Co/dominant",-0.089383491419782,-0.244265409258238,0.0654984264186739,-0.0928844211176069,-0.0858825617219571,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.309763835676912,"WA",NA
"52","Dawson","Eucalyptus Suppressed","Eucalyptus Suppressed",0.121438001025753,-0.118402592225822,0.361278594277328,0.116956629127182,0.125919372924324,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.479681186503151,"WA",NA
"66","Dawson","Non-euc Suppressed","Eucalyptus Suppressed",-0.00834302358163515,-0.158241703379362,0.141555656216092,-0.0114550537732438,-0.00523099339002654,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.299797359595454,"WA",NA
"92","Dawson","Non-euc Suppressed","Non-euc Suppressed",0.244320080348182,0.130464950082152,0.358175210614213,0.236305778823661,0.252334381872704,"Potential 1","Suppressed","Suppressed","Non-euc","Non-euc",0.22771026053206,"WA",1
"110","Carey","Eucalyptus Co/dominant","Eucalyptus Co/dominant",-0.0668915717970258,-0.359093039066424,0.225309895472373,-0.0711473115179512,-0.0626358320761004,"Potential 1","Co/dominant","Co/dominant","Eucalyptus","Eucalyptus",0.584402934538797,"WA",NA
"27","Carey","Eucalyptus Intermediate","Eucalyptus Co/dominant",0.120032634253663,-0.464744900729738,0.704810169237063,0.113775565283817,0.126289703223509,"Potential 1","Intermediate","Co/dominant","Eucalyptus","Eucalyptus",1.1695550699668,"WA",NA
"37","Carey","Eucalyptus Suppressed","Eucalyptus Co/dominant",0.0260280739258009,-0.208740228964183,0.260796376815784,0.0230427769013518,0.02901337095025,"Potential 1","Suppressed","Co/dominant","Eucalyptus","Eucalyptus",0.469536605779967,"WA",NA
"44","Carey","Non-euc Suppressed","Eucalyptus Co/dominant",-0.0311225098403603,-0.196936718590646,0.134691698909926,-0.0335488415340886,-0.028696178146632,"Potential 1","Suppressed","Co/dominant","Non-euc","Eucalyptus",0.331628417500572,"WA",NA
"67","Carey","Eucalyptus Intermediate","Eucalyptus Intermediate",-0.647592355074812,-2.44361192953216,1.14842721938253,-0.66314076524516,-0.632043944904464,"Potential 1","Intermediate","Intermediate","Eucalyptus","Eucalyptus",3.59203914891469,"WA",NA
"74","Carey","Eucalyptus Suppressed","Eucalyptus Intermediate",-0.406602231509149,-1.12012262059183,0.306918157573536,-0.412871466303816,-0.400332996714483,"Potential 1","Suppressed","Intermediate","Eucalyptus","Eucalyptus",1.42704077816537,"WA",NA
"84","Carey","Non-euc Suppressed","Eucalyptus Intermediate",-0.372279233156133,-0.862204043159922,0.117645576847655,-0.378060773310142,-0.366497693002124,"Potential 1","Suppressed","Intermediate","Non-euc","Eucalyptus",0.979849620007577,"WA",NA
"114","Carey","Eucalyptus Suppressed","Eucalyptus Suppressed",0.111367733124393,-0.345860638721934,0.56859610497072,0.106056232963655,0.116679233285131,"Potential 1","Suppressed","Suppressed","Eucalyptus","Eucalyptus",0.914456743692654,"WA",NA
"124","Carey","Non-euc Suppressed","Eucalyptus Suppressed",-0.104948193591261,-0.306930199941955,0.0970338127594329,-0.107731332360045,-0.102165054822477,"Potential 1","Suppressed","Suppressed","Non-euc","Eucalyptus",0.403964012701388,"WA",NA
