"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","species_from","species_to","class_from","class_to","sig","region","region2"
"1","Eucalyptus diversicolor Co/dominant","Eucalyptus diversicolor Co/dominant",-0.104759092182127,-0.59774369128642,0.388225506922166,-0.110590985457908,-0.0989271989063462,"Potential 1","Frankland",0.985969198208586,"Eucalyptus diversicolor","Eucalyptus diversicolor","Co/dominant","Co/dominant",NA,"WA","WA"
"2","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Co/dominant",-0.0229059234375783,-0.191361357134413,0.145549510259257,-0.0249390932729962,-0.0208727536021603,"Potential 1","Frankland",0.33691086739367,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"3","Eucalyptus guilfoylei Suppressed","Eucalyptus diversicolor Co/dominant",-0.0889886565032816,-0.297744280040917,0.119766967034354,-0.0927350951986115,-0.0852422178079517,"Potential 1","Frankland",0.41751124707527,"Eucalyptus guilfoylei","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"4","Non-euc Suppressed","Eucalyptus diversicolor Co/dominant",-0.0159878477036663,-0.546611163173721,0.514635467766389,-0.0224313386626359,-0.00954435674469666,"Potential 1","Frankland",1.06124663094011,"Non-euc","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
"5","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Suppressed",0.412493274896469,0.240811835609888,0.58417471418305,0.404505079999461,0.420481469793478,"Potential 1","Frankland",0.343362878573162,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Suppressed",1,"WA","WA"
"6","Eucalyptus guilfoylei Suppressed","Eucalyptus diversicolor Suppressed",-0.0132400345607241,-0.112582984832954,0.0861029157115056,-0.0158717150696127,-0.0106083540518355,"Potential 1","Frankland",0.198685900544459,"Eucalyptus guilfoylei","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"7","Non-euc Suppressed","Eucalyptus diversicolor Suppressed",-0.0169477745815267,-0.21830596836018,0.184410419197126,-0.0203418143447329,-0.0135537348183206,"Potential 1","Frankland",0.402716387557306,"Non-euc","Eucalyptus diversicolor","Suppressed","Suppressed",NA,"WA","WA"
"8","Eucalyptus guilfoylei Suppressed","Eucalyptus guilfoylei Suppressed",0.150982347047164,-0.0303284122311834,0.332293106325512,0.142084443985414,0.159880250108915,"Potential 1","Frankland",0.362621518556695,"Eucalyptus guilfoylei","Eucalyptus guilfoylei","Suppressed","Suppressed",NA,"WA","WA"
"9","Non-euc Suppressed","Eucalyptus guilfoylei Suppressed",0.403209969807115,0.0752318277335147,0.731188111880716,0.394554400161853,0.411865539452377,"Potential 1","Frankland",0.655956284147201,"Non-euc","Eucalyptus guilfoylei","Suppressed","Suppressed",1,"WA","WA"
"10","Non-euc Suppressed","Non-euc Suppressed",-0.452855896762026,-1.29119488592475,0.385483092400695,-0.466031220662034,-0.439680572862018,"Potential 1","Frankland",1.67667797832544,"Non-euc","Non-euc","Suppressed","Suppressed",NA,"WA","WA"
"11","Eucalyptus jacksonii Co/dominant","Eucalyptus jacksonii Co/dominant",-1.80711409717248,-3.85226256242341,0.238034368078455,-1.83629615104915,-1.77793204329581,"Potential 1","Clare",4.09029693050186,"Eucalyptus jacksonii","Eucalyptus jacksonii","Co/dominant","Co/dominant",NA,"WA","WA"
"12","Non-euc Suppressed","Eucalyptus jacksonii Co/dominant",-0.0304875499503142,-0.435843755172968,0.374868655272339,-0.0354946158571065,-0.025480484043522,"Potential 1","Clare",0.810712410445307,"Non-euc","Eucalyptus jacksonii","Suppressed","Co/dominant",NA,"WA","WA"
"13","Non-euc Suppressed","Non-euc Suppressed",0.195118780636424,0.0343985120685434,0.355839049204305,0.189505928733785,0.200731632539064,"Potential 1","Clare",0.321440537135762,"Non-euc","Non-euc","Suppressed","Suppressed",1,"WA","WA"
"14","Corymbia calophylla Suppressed","Corymbia calophylla Suppressed",0.458714894843423,0.352431260729223,0.564998528957624,0.448895817802384,0.468533971884463,"Potential 1","Sutton",0.212567268228401,"Corymbia calophylla","Corymbia calophylla","Suppressed","Suppressed",1,"WA","WA"
"15","Eucalyptus diversicolor Co/dominant","Corymbia calophylla Suppressed",-0.0350687343242485,-0.102504726209182,0.0323672575606847,-0.0366094202851759,-0.033528048363321,"Potential 1","Sutton",0.134871983769866,"Eucalyptus diversicolor","Corymbia calophylla","Co/dominant","Suppressed",NA,"WA","WA"
"16","Eucalyptus diversicolor Intermediate","Corymbia calophylla Suppressed",-0.0185403895043286,-0.11057289924107,0.0734921202324127,-0.0202153195624314,-0.0168654594462258,"Potential 1","Sutton",0.184065019473483,"Eucalyptus diversicolor","Corymbia calophylla","Intermediate","Suppressed",NA,"WA","WA"
"17","Eucalyptus diversicolor Suppressed","Corymbia calophylla Suppressed",-0.076688155066913,-0.201852588597806,0.0484762784639796,-0.0792941685160156,-0.0740821416178104,"Potential 1","Sutton",0.250328867061785,"Eucalyptus diversicolor","Corymbia calophylla","Suppressed","Suppressed",NA,"WA","WA"
"18","Non-euc Suppressed","Corymbia calophylla Suppressed",-0.00753510912813414,-0.074070601372973,0.0590003831167048,-0.0100094198457582,-0.00506079841051008,"Potential 1","Sutton",0.133070984489678,"Non-euc","Corymbia calophylla","Suppressed","Suppressed",NA,"WA","WA"
"19","Eucalyptus diversicolor Co/dominant","Eucalyptus diversicolor Co/dominant",-0.220210576830193,-0.453602832381769,0.0131816787213832,-0.226801659095944,-0.213619494564442,"Potential 1","Sutton",0.466784511103153,"Eucalyptus diversicolor","Eucalyptus diversicolor","Co/dominant","Co/dominant",NA,"WA","WA"
"20","Eucalyptus diversicolor Intermediate","Eucalyptus diversicolor Co/dominant",0.217146073057537,-0.0714007516136847,0.505692897728759,0.212408864057395,0.221883282057679,"Potential 1","Sutton",0.577093649342444,"Eucalyptus diversicolor","Eucalyptus diversicolor","Intermediate","Co/dominant",NA,"WA","WA"
"21","Eucalyptus diversicolor Suppressed","Eucalyptus diversicolor Co/dominant",-0.18732493547877,-0.456080438828429,0.0814305678708889,-0.193603805104123,-0.181046065853417,"Potential 1","Sutton",0.537511006699318,"Eucalyptus diversicolor","Eucalyptus diversicolor","Suppressed","Co/dominant",NA,"WA","WA"
