"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","site","range_ci","class_from","class_to","species_from","species_to","class_int","georegion","region","sig","cc_from","cc_to","cc_int","group"
"1","Allocasuarina decussata small","Allocasuarina decussata small",-0.0796564198373596,-0.743450061385624,0.584137221710905,-0.0885320343403826,-0.0707808053343366,0.338676448538945,"Frankland",1.32758728309653,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"2","Eucalyptus diversicolor large","Allocasuarina decussata small",0.233173290326232,-0.302715045475833,0.769061626128298,0.226825950290589,0.239520630361876,0.273417440335172,"Frankland",1.07177667160413,"large","small","Eucalyptus diversicolor","Allocasuarina decussata","large_small","S_WA","WA",NA,"Canopy","Subcanopy","Canopy_Subcanopy","Canopy.large_Subcanopy.small"
"3","Eucalyptus diversicolor small","Allocasuarina decussata small",0.0996502722143858,-0.0906528716263054,0.289953416055077,0.0966119023267662,0.102688642102005,0.0970952248825887,"Frankland",0.380606287681382,"small","small","Eucalyptus diversicolor","Allocasuarina decussata","small_small","S_WA","WA",NA,"Canopy","Subcanopy","Canopy_Subcanopy","Canopy.small_Subcanopy.small"
"4","Eucalyptus guilfoylei large","Allocasuarina decussata small",0.0935979388405531,-0.385739252069923,0.57293512975103,0.0876842757388722,0.099511601942234,0.244564285206987,"Frankland",0.958674381820953,"large","small","Eucalyptus guilfoylei","Allocasuarina decussata","large_small","S_WA","WA",NA,"Canopy","Subcanopy","Canopy_Subcanopy","Canopy.large_Subcanopy.small"
"5","Eucalyptus guilfoylei small","Allocasuarina decussata small",0.30694229132192,-0.00635211747099751,0.620236700114837,0.298702715122253,0.315181867521587,0.1598470233454,"Frankland",0.626588817585834,"small","small","Eucalyptus guilfoylei","Allocasuarina decussata","small_small","S_WA","WA",NA,"Canopy","Subcanopy","Canopy_Subcanopy","Canopy.small_Subcanopy.small"
"6","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.0499989233910122,-0.456259205694157,0.356261358912132,-0.0559289847553208,-0.0440688620267035,0.207279463045073,"Frankland",0.812520564606289,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"7","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.0634864328716537,-0.206306799774883,0.0793339340315756,-0.0653482446452172,-0.0616246210980902,0.0728688731169441,"Frankland",0.285640733806459,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"8","Eucalyptus guilfoylei large","Eucalyptus diversicolor large",-0.245763824048984,-0.490410809800955,-0.00111683829701303,-0.24926573635816,-0.242261911739808,0.12482218432671,"Frankland",0.489293971503942,"large","large","Eucalyptus guilfoylei","Eucalyptus diversicolor","large_large","S_WA","WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"9","Eucalyptus guilfoylei small","Eucalyptus diversicolor large",-0.0729169393082427,-0.273970846968645,0.12813696835216,-0.0762578422741169,-0.0695760363423685,0.102580409255624,"Frankland",0.402107815320805,"small","large","Eucalyptus guilfoylei","Eucalyptus diversicolor","small_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"10","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.404987203801866,0.229019226025152,0.580955181578579,0.398381418354518,0.411592989249214,0.0897812302494977,"Frankland",0.351935955553427,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","S_WA","WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
