"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","site","range_ci","class_from","class_to","species_from","species_to","class_int","georegion","region","sig","cc_to","cc_from","cc_int"
"1","Allocasuarina decussata small","Allocasuarina decussata small",-0.0784813282564775,-0.73976874780653,0.582806091293576,-0.087033317812373,-0.069929338700582,"Potential 1","Frankland",1.32257483910011,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy"
"2","Eucalyptus diversicolor large","Allocasuarina decussata small",0.232192535215638,-0.296762509541337,0.761147579972613,0.226030019916115,0.238355050515161,"Potential 1","Frankland",1.05791008951395,"large","small","Eucalyptus diversicolor","Allocasuarina decussata","large_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"3","Eucalyptus diversicolor small","Allocasuarina decussata small",0.100866436044964,-0.0900353942519229,0.291768266341851,0.0978933597701391,0.103839512319789,"Potential 1","Frankland",0.381803660593774,"small","small","Eucalyptus diversicolor","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"4","Eucalyptus guilfoylei large","Allocasuarina decussata small",0.090553390023193,-0.387527664757492,0.568634444803878,0.0847159049726221,0.0963908750737638,"Potential 1","Frankland",0.95616210956137,"large","small","Eucalyptus guilfoylei","Allocasuarina decussata","large_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"5","Eucalyptus guilfoylei small","Allocasuarina decussata small",0.30761893566873,-0.00340561998269534,0.618643491320156,0.299205207472864,0.316032663864596,"Potential 1","Frankland",0.622049111302851,"small","small","Eucalyptus guilfoylei","Allocasuarina decussata","small_small","S_WA","WA",NA,"Subcanopy","Canopy","Canopy_Subcanopy"
"6","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.0516821161333096,-0.451588695492441,0.348224463225822,-0.0575024142647878,-0.0458618180018315,"Potential 1","Frankland",0.799813158718262,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"7","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.0634908293417469,-0.206385098764118,0.0794034400806243,-0.065330669019763,-0.0616509896637309,"Potential 1","Frankland",0.285788538844742,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"8","Eucalyptus guilfoylei large","Eucalyptus diversicolor large",-0.244184087710708,-0.486886320261175,-0.00148185516024213,-0.247476033643458,-0.240892141777958,"Potential 1","Frankland",0.485404465100932,"large","large","Eucalyptus guilfoylei","Eucalyptus diversicolor","large_large","S_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
"9","Eucalyptus guilfoylei small","Eucalyptus diversicolor large",-0.0723438853242927,-0.270868184857555,0.126180414208969,-0.0758502520037835,-0.068837518644802,"Potential 1","Frankland",0.397048599066524,"small","large","Eucalyptus guilfoylei","Eucalyptus diversicolor","small_large","S_WA","WA",NA,"Canopy","Canopy","Canopy_Canopy"
"10","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.405785385270333,0.229865803025167,0.581704967515499,0.397850916839249,0.413719853701417,"Potential 1","Frankland",0.351839164490332,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","S_WA","WA","1","Canopy","Canopy","Canopy_Canopy"
