"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","range_ci","sig","species_from","species_to","size_from","size_to","region"
"1","Frankland","large Eucalypt","large Eucalypt",-0.248075565146724,-0.671335600550322,0.175184470256874,-0.256484611898238,-0.239666518395209,"Potential 1",0.846520070807196,NA,"Eucalypt","Eucalypt","large","large","WA"
"2","Frankland","small Eucalypt","large Eucalypt",-0.100135501893482,-0.261390050133404,0.0611190463464402,-0.103222831100724,-0.0970481726862399,"Potential 1",0.322509096479844,NA,"Eucalypt","Eucalypt","small","large","WA"
"3","Frankland","small Non-euc","large Eucalypt",-0.150923647720441,-0.64219880531675,0.340351509875867,-0.15716436167335,-0.144682933767533,"Potential 1",0.982550315192616,NA,"Non-euc","Eucalypt","small","large","WA"
"5","Frankland","small Eucalypt","small Eucalypt",0.207190517086301,0.0611894747165959,0.353191559456007,0.198903223621753,0.21547781055085,"Potential 1",0.292002084739411,1,"Eucalypt","Eucalypt","small","small","WA"
"6","Frankland","small Non-euc","small Eucalypt",0.281931437281087,0.052929168211007,0.510933706351166,0.27685554996698,0.287007324595193,"Potential 1",0.458004538140159,1,"Non-euc","Eucalypt","small","small","WA"
"9","Frankland","small Non-euc","small Non-euc",-0.479387127284915,-1.55214168831472,0.593367433744887,-0.491904536454912,-0.466869718114918,"Potential 1",2.1455091220596,NA,"Non-euc","Non-euc","small","small","WA"
"11","Collins","large Eucalypt","large Eucalypt",-0.592215568083069,-1.16679214049102,-0.0176389956751224,-0.603693247298675,-0.580737888867463,"Potential 1",1.14915314481589,1,"Eucalypt","Eucalypt","large","large","WA"
"21","Collins","small Eucalypt","large Eucalypt",-0.011830880446549,-0.251854972508601,0.228193211615503,-0.0147640289213411,-0.00889773197175691,"Potential 1",0.480048184124104,NA,"Eucalypt","Eucalypt","small","large","WA"
"31","Collins","small Non-euc","large Eucalypt",-0.199582149334502,-0.465114212537982,0.0659499138689777,-0.20465278664303,-0.194511512025974,"Potential 1",0.53106412640696,NA,"Non-euc","Eucalypt","small","large","WA"
"51","Collins","small Eucalypt","small Eucalypt",0.335126229250563,0.194746178316416,0.47550628018471,0.327473105226841,0.342779353274285,"Potential 1",0.280760101868294,1,"Eucalypt","Eucalypt","small","small","WA"
"61","Collins","small Non-euc","small Eucalypt",-0.0178039177741012,-0.111003154652676,0.0753953191044734,-0.0207413179513534,-0.014866517596849,"Potential 1",0.186398473757149,NA,"Non-euc","Eucalypt","small","small","WA"
"91","Collins","small Non-euc","small Non-euc",0.359669959924693,0.244248844434452,0.475091075414935,0.34839280913694,0.370947110712447,"Potential 1",0.230842230980483,1,"Non-euc","Non-euc","small","small","WA"
"12","Clare","large Eucalypt","large Eucalypt",-0.238197469096729,-0.615364782585141,0.138969844391683,-0.245086460311421,-0.231308477882037,"Potential 1",0.754334626976825,NA,"Eucalypt","Eucalypt","large","large","WA"
"22","Clare","large Non-euc","large Eucalypt",-0.0354121097067329,-0.290930898037784,0.220106678624318,-0.038924528831025,-0.0318996905824409,"Potential 1",0.511037576662102,NA,"Non-euc","Eucalypt","large","large","WA"
