"","site","from","to","alpha","lo","hi","lo_numerical","hi_numerical","Potential","range_ci","sig","species_from","species_to","size_from","size_to"
"1","Frankland","large Eucalyptus diversicolor","large Eucalyptus diversicolor",-0.042979435039209,-0.445404448802855,0.359445578724437,-0.0500605773053214,-0.0358982927730966,"Potential 1",0.804850027527293,NA,"Eucalyptus diversicolor","Eucalyptus diversicolor","large","large"
"2","Frankland","large Eucalyptus guilfoylei","large Eucalyptus diversicolor",-0.583420666743311,-1.16121073243022,-0.00563060105640567,-0.593495748192194,-0.573345585294428,"Potential 1",1.15558013137381,1,"Eucalyptus guilfoylei","Eucalyptus diversicolor","large","large"
"3","Frankland","small Eucalyptus diversicolor","large Eucalyptus diversicolor",-0.0958553605101063,-0.260346700548948,0.0686359795287349,-0.0980627616149719,-0.0936479594052408,"Potential 1",0.328982680077682,NA,"Eucalyptus diversicolor","Eucalyptus diversicolor","small","large"
"4","Frankland","small Eucalyptus guilfoylei","large Eucalyptus diversicolor",-0.0249386709411448,-0.275665642038068,0.225788300155779,-0.029772386591831,-0.0201049552904585,"Potential 1",0.501453942193847,NA,"Eucalyptus guilfoylei","Eucalyptus diversicolor","small","large"
"5","Frankland","small Non-euc","large Eucalyptus diversicolor",-0.194882920029254,-0.915765749033875,0.525999908975367,-0.205406416348618,-0.184359423709889,"Potential 1",1.44176565800924,NA,"Non-euc","Eucalyptus diversicolor","small","large"
"7","Frankland","large Eucalyptus guilfoylei","large Eucalyptus guilfoylei",-0.80680980741242,-1.83944031648788,0.225820701663045,-0.828646608524057,-0.784973006300783,"Potential 1",2.06526101815093,NA,"Eucalyptus guilfoylei","Eucalyptus guilfoylei","large","large"
"8","Frankland","small Eucalyptus diversicolor","large Eucalyptus guilfoylei",-0.157003781157429,-0.486868197391631,0.172860635076774,-0.162672495765419,-0.151335066549439,"Potential 1",0.659728832468405,NA,"Eucalyptus diversicolor","Eucalyptus guilfoylei","small","large"
"9","Frankland","small Eucalyptus guilfoylei","large Eucalyptus guilfoylei",0.276202270436898,-0.18941864639552,0.741823187269316,0.267289062292506,0.28511547858129,"Potential 1",0.931241833664836,NA,"Eucalyptus guilfoylei","Eucalyptus guilfoylei","small","large"
"10","Frankland","small Non-euc","large Eucalyptus guilfoylei",-1.1181741291878,-2.50813592712143,0.271787668745823,-1.13989558059525,-1.09645267778036,"Potential 1",2.77992359586725,NA,"Non-euc","Eucalyptus guilfoylei","small","large"
"13","Frankland","small Eucalyptus diversicolor","small Eucalyptus diversicolor",0.424683947079289,0.241821102532798,0.607546791625781,0.415901303381664,0.433466590776914,"Potential 1",0.365725689092983,1,"Eucalyptus diversicolor","Eucalyptus diversicolor","small","small"
