"","iter","types","value","split","site"
"1",1,"Eucalyptus diversicolor",0.547497319240196,"train","Frankland"
"2",1,"Eucalyptus guilfoylei",0.623397827148438,"train","Frankland"
"3",1,"Non-euc",0.723251342773438,"train","Frankland"
"4",2,"Eucalyptus diversicolor",0.538527544806985,"train","Frankland"
"5",2,"Eucalyptus guilfoylei",0.624315344769022,"train","Frankland"
"6",2,"Non-euc",0.616508483886719,"train","Frankland"
"7",3,"Eucalyptus diversicolor",0.544767491957721,"train","Frankland"
"8",3,"Eucalyptus guilfoylei",0.630473261294158,"train","Frankland"
"9",3,"Non-euc",0.722465515136719,"train","Frankland"
"10",4,"Eucalyptus diversicolor",0.542833515242034,"train","Frankland"
"11",4,"Eucalyptus guilfoylei",0.631921519403872,"train","Frankland"
"12",4,"Non-euc",0.710712432861328,"train","Frankland"
"13",5,"Eucalyptus diversicolor",0.520705279181985,"train","Frankland"
"14",5,"Eucalyptus guilfoylei",0.626931231954823,"train","Frankland"
"15",5,"Non-euc",0.771377563476562,"train","Frankland"
"16",6,"Eucalyptus diversicolor",0.544426413143382,"train","Frankland"
"17",6,"Eucalyptus guilfoylei",0.630895199983016,"train","Frankland"
"18",6,"Non-euc",0.6663818359375,"train","Frankland"
"19",7,"Eucalyptus diversicolor",0.539632161458333,"train","Frankland"
"20",7,"Eucalyptus guilfoylei",0.617066093113111,"train","Frankland"
"21",7,"Non-euc",0.680168151855469,"train","Frankland"
"22",8,"Eucalyptus diversicolor",0.552469889322917,"train","Frankland"
"23",8,"Eucalyptus guilfoylei",0.619733727496603,"train","Frankland"
"24",8,"Non-euc",0.703933715820312,"train","Frankland"
"25",9,"Eucalyptus diversicolor",0.536221373314951,"train","Frankland"
"26",9,"Eucalyptus guilfoylei",0.606089716372283,"train","Frankland"
"27",9,"Non-euc",0.661762237548828,"train","Frankland"
"28",10,"Eucalyptus diversicolor",0.554420620787377,"train","Frankland"
"29",10,"Eucalyptus guilfoylei",0.616737034009851,"train","Frankland"
"30",10,"Non-euc",0.697338104248047,"train","Frankland"
"31",11,"Eucalyptus diversicolor",0.543461818321078,"train","Frankland"
"32",11,"Eucalyptus guilfoylei",0.624355150305707,"train","Frankland"
"33",11,"Non-euc",0.72979736328125,"train","Frankland"
"34",12,"Eucalyptus diversicolor",0.524971756280637,"train","Frankland"
"35",12,"Eucalyptus guilfoylei",0.620994236158288,"train","Frankland"
"36",12,"Non-euc",0.654594421386719,"train","Frankland"
