"","iter","types","value","split","site"
"1",1,"Eucalyptus regnans Co/dominant",0.517530358355978,"train","ANU363"
"2",1,"Eucalyptus regnans Intermediate",0.628448486328125,"train","ANU363"
"3",2,"Eucalyptus regnans Co/dominant",0.517400326936141,"train","ANU363"
"4",2,"Eucalyptus regnans Intermediate",0.6477783203125,"train","ANU363"
"5",3,"Eucalyptus regnans Co/dominant",0.516815627830616,"train","ANU363"
"6",3,"Eucalyptus regnans Intermediate",0.635308837890625,"train","ANU363"
"7",4,"Eucalyptus regnans Co/dominant",0.508506000905797,"train","ANU363"
"8",4,"Eucalyptus regnans Intermediate",0.61707763671875,"train","ANU363"
"9",5,"Eucalyptus regnans Co/dominant",0.533422497735507,"train","ANU363"
"10",5,"Eucalyptus regnans Intermediate",0.625808715820312,"train","ANU363"
"11",6,"Eucalyptus regnans Co/dominant",0.527233179064765,"train","ANU363"
"12",6,"Eucalyptus regnans Intermediate",0.621588134765625,"train","ANU363"
"13",7,"Eucalyptus regnans Co/dominant",0.534846651381341,"train","ANU363"
"14",7,"Eucalyptus regnans Intermediate",0.586578369140625,"train","ANU363"
"15",8,"Eucalyptus regnans Co/dominant",0.496466152909873,"train","ANU363"
"16",8,"Eucalyptus regnans Intermediate",0.641610717773437,"train","ANU363"
"17",9,"Eucalyptus regnans Co/dominant",0.509151735167573,"train","ANU363"
"18",9,"Eucalyptus regnans Intermediate",0.642544555664063,"train","ANU363"
"19",10,"Eucalyptus regnans Co/dominant",0.506527223448823,"train","ANU363"
"20",10,"Eucalyptus regnans Intermediate",0.650051879882813,"train","ANU363"
"21",11,"Eucalyptus regnans Co/dominant",0.536460987035779,"train","ANU363"
"22",11,"Eucalyptus regnans Intermediate",0.564749145507813,"train","ANU363"
"23",12,"Eucalyptus regnans Co/dominant",0.52082714136096,"train","ANU363"
"24",12,"Eucalyptus regnans Intermediate",0.616497802734375,"train","ANU363"
"25",13,"Eucalyptus regnans Co/dominant",0.503844330276268,"train","ANU363"
"26",13,"Eucalyptus regnans Intermediate",0.627749633789062,"train","ANU363"
"27",14,"Eucalyptus regnans Co/dominant",0.495140186254529,"train","ANU363"
"28",14,"Eucalyptus regnans Intermediate",0.604153442382813,"train","ANU363"
"29",15,"Eucalyptus regnans Co/dominant",0.521083665930707,"train","ANU363"
"30",15,"Eucalyptus regnans Intermediate",0.650726318359375,"train","ANU363"
"31",16,"Eucalyptus regnans Co/dominant",0.53854148975317,"train","ANU363"
"32",16,"Eucalyptus regnans Intermediate",0.66094970703125,"train","ANU363"
"33",17,"Eucalyptus regnans Co/dominant",0.511423304461051,"train","ANU363"
"34",17,"Eucalyptus regnans Intermediate",0.620346069335938,"train","ANU363"
"35",18,"Eucalyptus regnans Co/dominant",0.533767479053442,"train","ANU363"
"36",18,"Eucalyptus regnans Intermediate",0.597186279296875,"train","ANU363"
"37",19,"Eucalyptus regnans Co/dominant",0.510933254076087,"train","ANU363"
"38",19,"Eucalyptus regnans Intermediate",0.60675048828125,"train","ANU363"
"39",20,"Eucalyptus regnans Co/dominant",0.551398678102355,"train","ANU363"
"40",20,"Eucalyptus regnans Intermediate",0.57032470703125,"train","ANU363"
"41",1,"Eucalyptus regnans Co/dominant",0.59891357421875,"test","ANU363"
"42",1,"Eucalyptus regnans Intermediate",0.589410400390625,"test","ANU363"
"43",2,"Eucalyptus regnans Co/dominant",0.68287353515625,"test","ANU363"
"44",2,"Eucalyptus regnans Intermediate",0.575531005859375,"test","ANU363"
"45",3,"Eucalyptus regnans Co/dominant",0.72628173828125,"test","ANU363"
"46",3,"Eucalyptus regnans Intermediate",0.607763671875,"test","ANU363"
"47",4,"Eucalyptus regnans Co/dominant",0.741650390625,"test","ANU363"
"48",4,"Eucalyptus regnans Intermediate",0.6757568359375,"test","ANU363"
"49",5,"Eucalyptus regnans Co/dominant",0.671881103515625,"test","ANU363"
"50",5,"Eucalyptus regnans Intermediate",0.673236083984375,"test","ANU363"
"51",6,"Eucalyptus regnans Co/dominant",0.603955078125,"test","ANU363"
"52",6,"Eucalyptus regnans Intermediate",0.67476806640625,"test","ANU363"
"53",7,"Eucalyptus regnans Co/dominant",0.673675537109375,"test","ANU363"
"54",7,"Eucalyptus regnans Intermediate",0.7096923828125,"test","ANU363"
"55",8,"Eucalyptus regnans Co/dominant",0.737188720703125,"test","ANU363"
"56",8,"Eucalyptus regnans Intermediate",0.642950439453125,"test","ANU363"
"57",9,"Eucalyptus regnans Co/dominant",0.615484619140625,"test","ANU363"
"58",9,"Eucalyptus regnans Intermediate",0.632232666015625,"test","ANU363"
"59",10,"Eucalyptus regnans Co/dominant",0.7248779296875,"test","ANU363"
"60",10,"Eucalyptus regnans Intermediate",0.55634765625,"test","ANU363"
"61",11,"Eucalyptus regnans Co/dominant",0.639239501953125,"test","ANU363"
"62",11,"Eucalyptus regnans Intermediate",0.804827880859375,"test","ANU363"
"63",12,"Eucalyptus regnans Co/dominant",0.67421875,"test","ANU363"
"64",12,"Eucalyptus regnans Intermediate",0.64139404296875,"test","ANU363"
"65",13,"Eucalyptus regnans Co/dominant",0.69022216796875,"test","ANU363"
"66",13,"Eucalyptus regnans Intermediate",0.650506591796875,"test","ANU363"
"67",14,"Eucalyptus regnans Co/dominant",0.611224365234375,"test","ANU363"
"68",14,"Eucalyptus regnans Intermediate",0.60291748046875,"test","ANU363"
"69",15,"Eucalyptus regnans Co/dominant",0.741278076171875,"test","ANU363"
